,Code,Location_ID,Visit_ID,Panel,xCoordinate,yCoordinate,UTM_Zone,Date,Year,Visit_Type,limited_RAM,meanC,Bryophyte_Cover,Invasive_Cover,Cover_Tolerant,vmmi,vmmi_rating,Site
1,GIME03,224,291,-1,558085,4912280,19N,8/12/2024,2024,VS,1,4.189814815,60,0,59,60.87833823,Fair,Gilmore Meadow
2,GIME07,225,292,-1,558056,4912311,19N,8/12/2024,2024,VS,1,4.278947368,40,0,47,58.49417192,Fair,Gilmore Meadow
3,GRME01,218,284,-1,563119,4912595,19N,7/22/2024,2024,VS,1,4.076923077,30,0,88.251,47.11023302,Poor,Great Meadow
4,GRME02,223,289,-1,563119,4912595,19N,7/30/2024,2024,VS,1,3.744642857,0,1,86.501,37.15046533,Poor,Great Meadow
5,GRME03,215,281,-1,562824,4912845,19N,7/19/2024,2024,VS,1,3.839215686,15,0.05,115.002,36.89020998,Poor,Great Meadow
6,GRME04,222,288,-1,562910,4912898,19N,7/24/2024,2024,VS,1,3.979166667,35,0.05,115.002,42.83302135,Poor,Great Meadow
7,GRME05,219,293,-1,563200,4912819,19N,8/20/2024,2024,VS,1,4.019230769,0,0,15.501,52.56221663,Poor,Great Meadow
8,GRME06,221,287,-1,563011,4912923,19N,7/24/2024,2024,VS,1,3.911428571,55,5,145.003,40.30520825,Poor,Great Meadow
9,GRME07,217,283,-1,563061,4912558,19N,7/22/2024,2024,VS,1,3.910714286,60,0.001,103.5,51.00601857,Poor,Great Meadow
10,GRME08,214,280,-1,563371,4912896,19N,7/15/2024,2024,VS,1,3.2040625,0.1,0.1,32.5,44.62105105,Poor,Great Meadow
11,GRME09,216,282,-1,562963,4912763,19N,7/16/2024,2024,VS,1,3.775434783,35,3,119.75,38.82886086,Poor,Great Meadow
12,GRME10,220,290,-1,563256,4912949,19N,8/8/2024,2024,VS,1,3.991666667,0,0,77,41.00726049,Poor,Great Meadow
