"site.name","local.id","site.type","year","xcoord","ycoord","species","plant.code","plot.freq","coc","nativity","stress.tol","notes"
"RAM #01","R-01","RAM",2012,552812.491731,4899852.80191,"Acer rubrum","ACRU",2,2.5,"native",1,"Bass Harbor Marsh #1"
"RAM #01","R-01","RAM",2012,552812.491731,4899852.80191,"Amelanchier","AMELA",3,4.17,"native",0,"Bass Harbor Marsh #1"
"RAM #01","R-01","RAM",2012,552812.491731,4899852.80191,"Aronia melanocarpa","ARME6",4,4.5,"native",0,"Bass Harbor Marsh #1"
"RAM #01","R-01","RAM",2012,552812.491731,4899852.80191,"Calamagrostis canadensis","CACA4",1,2.33,"native",1,"Bass Harbor Marsh #1"
"RAM #01","R-01","RAM",2012,552812.491731,4899852.80191,"Carex trisperma","CATR10",3,5,"native",0,"Bass Harbor Marsh #1"
"RAM #01","R-01","RAM",2012,552812.491731,4899852.80191,"Chamaedaphne calyculata","CHCA2",4,5.5,"native",0,"Bass Harbor Marsh #1"
"RAM #01","R-01","RAM",2012,552812.491731,4899852.80191,"Cornus canadensis","COCA13",1,5.5,"native",0,"Bass Harbor Marsh #1"
"RAM #01","R-01","RAM",2012,552812.491731,4899852.80191,"Doellingeria umbellata","DOUM2",3,3,"native",1,"Bass Harbor Marsh #1"
"RAM #01","R-01","RAM",2012,552812.491731,4899852.80191,"Empetrum nigrum","EMNI",1,5,"native",0,"Bass Harbor Marsh #1"
"RAM #01","R-01","RAM",2012,552812.491731,4899852.80191,"Eriophorum angustifolium","ERAN6",2,6.5,"native",0,"Bass Harbor Marsh #1"
"RAM #01","R-01","RAM",2012,552812.491731,4899852.80191,"Gaylussacia baccata","GABA",1,5,"native",0,"Bass Harbor Marsh #1"
"RAM #01","R-01","RAM",2012,552812.491731,4899852.80191,"Ilex mucronata","ILMU",4,4.5,"native",0,"Bass Harbor Marsh #1"
"RAM #01","R-01","RAM",2012,552812.491731,4899852.80191,"Iris versicolor","IRVE2",1,3,"native",1,"Bass Harbor Marsh #1"
"RAM #01","R-01","RAM",2012,552812.491731,4899852.80191,"Kalmia angustifolia","KAAN",4,2,"native",1,"Bass Harbor Marsh #1"
"RAM #01","R-01","RAM",2012,552812.491731,4899852.80191,"Larix laricina","LALA",4,4.5,"native",0,"Bass Harbor Marsh #1"
"RAM #01","R-01","RAM",2012,552812.491731,4899852.80191,"Maianthemum canadense","MACA4",3,3,"native",1,"Bass Harbor Marsh #1"
"RAM #01","R-01","RAM",2012,552812.491731,4899852.80191,"Myrica gale","MYGA",4,5,"native",0,"Bass Harbor Marsh #1"
"RAM #01","R-01","RAM",2012,552812.491731,4899852.80191,"Osmundastrum cinnamomea","OSCI2",4,3.5,"native",1,"Bass Harbor Marsh #1"
"RAM #01","R-01","RAM",2012,552812.491731,4899852.80191,"Picea mariana","PIMA",4,6,"native",0,"Bass Harbor Marsh #1"
"RAM #01","R-01","RAM",2012,552812.491731,4899852.80191,"Rhododendron canadense","RHCA6",4,5.5,"native",0,"Bass Harbor Marsh #1"
"RAM #01","R-01","RAM",2012,552812.491731,4899852.80191,"Rhododendron groenlandicum","RHGR3",4,6.5,"native",0,"Bass Harbor Marsh #1"
"RAM #01","R-01","RAM",2012,552812.491731,4899852.80191,"Rosa nitida","RONI",1,5,"native",0,"Bass Harbor Marsh #1"
"RAM #01","R-01","RAM",2012,552812.491731,4899852.80191,"Rosa palustris","ROPA",1,4,"native",1,"Bass Harbor Marsh #1"
"RAM #01","R-01","RAM",2012,552812.491731,4899852.80191,"Rubus flagellaris","RUFL",1,3,"native",1,"Bass Harbor Marsh #1"
"RAM #01","R-01","RAM",2012,552812.491731,4899852.80191,"Rubus hispidus","RUHI",3,3,"native",1,"Bass Harbor Marsh #1"
"RAM #01","R-01","RAM",2012,552812.491731,4899852.80191,"Sarracenia purpurea","SAPU4",1,7,"native",0,"Bass Harbor Marsh #1"
"RAM #01","R-01","RAM",2012,552812.491731,4899852.80191,"Solidago uliginosa","SOUL",1,8,"native",0,"Bass Harbor Marsh #1"
"RAM #01","R-01","RAM",2012,552812.491731,4899852.80191,"Spiraea alba","SPAL2",4,2,"native",1,"Bass Harbor Marsh #1"
"RAM #01","R-01","RAM",2012,552812.491731,4899852.80191,"Trientalis borealis","TRBO2",4,4.5,"native",0,"Bass Harbor Marsh #1"
"RAM #01","R-01","RAM",2012,552812.491731,4899852.80191,"Vaccinium angustifolium","VAAN",3,2.5,"native",1,"Bass Harbor Marsh #1"
"RAM #01","R-01","RAM",2012,552812.491731,4899852.80191,"Vaccinium corymbosum","VACO",4,4,"native",1,"Bass Harbor Marsh #1"
"RAM #01","R-01","RAM",2012,552812.491731,4899852.80191,"Vaccinium myrtilloides","VAMY",1,3.5,"native",1,"Bass Harbor Marsh #1"
"RAM #01","R-01","RAM",2012,552812.491731,4899852.80191,"Viburnum nudum var. cassinoides","VINUC",4,4.5,"native",0,"Bass Harbor Marsh #1"
"RAM #01","R-01","RAM",2017,552812.491731,4899852.80191,"Acer rubrum","ACRU",2,2.5,"native",1,"Bass Harbor Marsh #1"
"RAM #01","R-01","RAM",2017,552812.491731,4899852.80191,"Alnus incana","ALIN2",1,2.5,"native",1,"Bass Harbor Marsh #1"
"RAM #01","R-01","RAM",2017,552812.491731,4899852.80191,"Amelanchier","AMELA",4,4.17,"native",0,"Bass Harbor Marsh #1"
"RAM #01","R-01","RAM",2017,552812.491731,4899852.80191,"Aronia melanocarpa","ARME6",4,4.5,"native",0,"Bass Harbor Marsh #1"
"RAM #01","R-01","RAM",2017,552812.491731,4899852.80191,"Carex","CAREX",1,4.65,"native",0,"Bass Harbor Marsh #1"
"RAM #01","R-01","RAM",2017,552812.491731,4899852.80191,"Carex folliculata","CAFO6",1,5,"native",0,"Bass Harbor Marsh #1"
"RAM #01","R-01","RAM",2017,552812.491731,4899852.80191,"Carex trisperma","CATR10",4,5,"native",0,"Bass Harbor Marsh #1"
"RAM #01","R-01","RAM",2017,552812.491731,4899852.80191,"Chamaedaphne calyculata","CHCA2",4,5.5,"native",0,"Bass Harbor Marsh #1"
"RAM #01","R-01","RAM",2017,552812.491731,4899852.80191,"Cornus canadensis","COCA13",1,5.5,"native",0,"Bass Harbor Marsh #1"
"RAM #01","R-01","RAM",2017,552812.491731,4899852.80191,"Doellingeria umbellata","DOUM2",3,3,"native",1,"Bass Harbor Marsh #1"
"RAM #01","R-01","RAM",2017,552812.491731,4899852.80191,"Dryopteris cristata","DRCR4",1,5.5,"native",0,"Bass Harbor Marsh #1"
"RAM #01","R-01","RAM",2017,552812.491731,4899852.80191,"Eriophorum angustifolium","ERAN6",2,6.5,"native",0,"Bass Harbor Marsh #1"
"RAM #01","R-01","RAM",2017,552812.491731,4899852.80191,"Gaylussacia baccata","GABA",4,5,"native",0,"Bass Harbor Marsh #1"
"RAM #01","R-01","RAM",2017,552812.491731,4899852.80191,"Ilex mucronata","ILMU",4,4.5,"native",0,"Bass Harbor Marsh #1"
"RAM #01","R-01","RAM",2017,552812.491731,4899852.80191,"Ilex verticillata","ILVE",1,3,"native",1,"Bass Harbor Marsh #1"
"RAM #01","R-01","RAM",2017,552812.491731,4899852.80191,"Juncus effusus","JUEF",1,2,"native",1,"Bass Harbor Marsh #1"
