"site.name","local.id","site.type","year","xcoord","ycoord","species","plant.code","strata","avg.cov","coc","nativity","stress.tol","notes"
"RAM #01","R-01","RAM",2012,552812.491731,4899852.80191,"Aronia melanocarpa","ARME6",5,60,4.5,"native",0,"Bass Harbor Marsh #1"
"RAM #01","R-01","RAM",2012,552812.491731,4899852.80191,"Chamaedaphne calyculata","CHCA2",5,2,5.5,"native",0,"Bass Harbor Marsh #1"
"RAM #01","R-01","RAM",2012,552812.491731,4899852.80191,"Larix laricina","LALA",5,15,4.5,"native",0,"Bass Harbor Marsh #1"
"RAM #01","R-01","RAM",2012,552812.491731,4899852.80191,"Myrica gale","MYGA",5,25,5,"native",0,"Bass Harbor Marsh #1"
"RAM #01","R-01","RAM",2012,552812.491731,4899852.80191,"Rhododendron canadense","RHCA6",5,30,5.5,"native",0,"Bass Harbor Marsh #1"
"RAM #01","R-01","RAM",2012,552812.491731,4899852.80191,"Viburnum nudum var. cassinoides","VINUC",5,2,4.5,"native",0,"Bass Harbor Marsh #1"
"RAM #01","R-01","RAM",2017,552812.491731,4899852.80191,"Aronia melanocarpa","ARME6",5,65,4.5,"native",0,"Bass Harbor Marsh #1"
"RAM #01","R-01","RAM",2017,552812.491731,4899852.80191,"Larix laricina","LALA",5,10,4.5,"native",0,"Bass Harbor Marsh #1"
"RAM #01","R-01","RAM",2017,552812.491731,4899852.80191,"Myrica gale","MYGA",5,20,5,"native",0,"Bass Harbor Marsh #1"
"RAM #01","R-01","RAM",2017,552812.491731,4899852.80191,"Rhododendron canadense","RHCA6",5,30,5.5,"native",0,"Bass Harbor Marsh #1"
"RAM #01","R-01","RAM",2017,552812.491731,4899852.80191,"Rhododendron groenlandicum","RHGR3",5,3,6.5,"native",0,"Bass Harbor Marsh #1"
"RAM #01","R-01","RAM",2017,552812.491731,4899852.80191,"Viburnum nudum var. cassinoides","VINUC",5,5,4.5,"native",0,"Bass Harbor Marsh #1"
"RAM #01","R-01","RAM",2022,552812.491731,4899852.80191,"Aronia melanocarpa","ARME6",5,75,4.5,"native",0,"Bass Harbor Marsh #1"
"RAM #01","R-01","RAM",2022,552812.491731,4899852.80191,"Larix laricina","LALA",7,12,4.5,"native",0,"Bass Harbor Marsh #1"
"RAM #01","R-01","RAM",2022,552812.491731,4899852.80191,"Myrica gale","MYGA",5,15,5,"native",0,"Bass Harbor Marsh #1"
"RAM #01","R-01","RAM",2022,552812.491731,4899852.80191,"Picea glauca","PIGL",7,0.1,3.5,"native",1,"Bass Harbor Marsh #1"
"RAM #01","R-01","RAM",2022,552812.491731,4899852.80191,"Picea mariana","PIMA",7,0.1,6,"native",0,"Bass Harbor Marsh #1"
"RAM #01","R-01","RAM",2022,552812.491731,4899852.80191,"Rhododendron canadense","RHCA6",5,42,5.5,"native",0,"Bass Harbor Marsh #1"
"RAM #01","R-01","RAM",2022,552812.491731,4899852.80191,"Rubus hispidus","RUHI",5,7,3,"native",1,"Bass Harbor Marsh #1"
"RAM #01","R-01","RAM",2022,552812.491731,4899852.80191,"Spiraea alba","SPAL2",5,5,2,"native",1,"Bass Harbor Marsh #1"
"RAM #01","R-01","RAM",2022,552812.491731,4899852.80191,"Vaccinium corymbosum","VACO",5,7,4,"native",1,"Bass Harbor Marsh #1"
"RAM #02","R-02","RAM",2012,560332.196155,4914805.63655,"Alnus incana","ALIN2",5,5,2.5,"native",1,"Southwest of New Mills Meadow"
"RAM #02","R-02","RAM",2012,560332.196155,4914805.63655,"Betula populifolia","BEPO",5,1,2,"native",1,"Southwest of New Mills Meadow"
"RAM #02","R-02","RAM",2012,560332.196155,4914805.63655,"Calamagrostis canadensis","CACA4",4,5,2.33,"native",1,"Southwest of New Mills Meadow"
"RAM #02","R-02","RAM",2012,560332.196155,4914805.63655,"Carex folliculata","CAFO6",4,0.1,5,"native",0,"Southwest of New Mills Meadow"
"RAM #02","R-02","RAM",2012,560332.196155,4914805.63655,"Carex lasiocarpa","CALA11",4,10,6,"native",0,"Southwest of New Mills Meadow"
"RAM #02","R-02","RAM",2012,560332.196155,4914805.63655,"Carex stricta","CAST8",4,40,4.5,"native",0,"Southwest of New Mills Meadow"
"RAM #02","R-02","RAM",2012,560332.196155,4914805.63655,"Drosera rotundifolia","DRRO",3,0.1,4,"native",1,"Southwest of New Mills Meadow"
"RAM #02","R-02","RAM",2012,560332.196155,4914805.63655,"Eriophorum virginicum","ERVI8",4,0.1,6.5,"native",0,"Southwest of New Mills Meadow"
"RAM #02","R-02","RAM",2012,560332.196155,4914805.63655,"Eurybia radula","EURA10",3,0.1,7,"native",0,"Southwest of New Mills Meadow"
"RAM #02","R-02","RAM",2012,560332.196155,4914805.63655,"Myrica gale","MYGA",5,40,5,"native",0,"Southwest of New Mills Meadow"
"RAM #02","R-02","RAM",2012,560332.196155,4914805.63655,"Oclemena nemoralis","OCNE2",3,5,7.5,"native",0,"Southwest of New Mills Meadow"
"RAM #02","R-02","RAM",2012,560332.196155,4914805.63655,"Rhododendron canadense","RHCA6",5,5,5.5,"native",0,"Southwest of New Mills Meadow"
"RAM #02","R-02","RAM",2012,560332.196155,4914805.63655,"Rhynchospora alba","RHAL3",4,0.1,6,"native",0,"Southwest of New Mills Meadow"
"RAM #02","R-02","RAM",2012,560332.196155,4914805.63655,"Rubus flagellaris","RUFL",3,15,3,"native",1,"Southwest of New Mills Meadow"
"RAM #02","R-02","RAM",2012,560332.196155,4914805.63655,"Spiraea alba","SPAL2",5,30,2,"native",1,"Southwest of New Mills Meadow"
"RAM #02","R-02","RAM",2012,560332.196155,4914805.63655,"Spiraea tomentosa","SPTO2",5,0.1,2.5,"native",1,"Southwest of New Mills Meadow"
"RAM #02","R-02","RAM",2012,560332.196155,4914805.63655,"Thelypteris palustris","THPA",3,0.1,4.5,"native",0,"Southwest of New Mills Meadow"
"RAM #02","R-02","RAM",2012,560332.196155,4914805.63655,"Vaccinium macrocarpon","VAMA",3,7,5,"native",0,"Southwest of New Mills Meadow"
"RAM #02","R-02","RAM",2017,560332.196155,4914805.63655,"Acer rubrum","ACRU",5,5,2.5,"native",1,"Southwest of New Mills Meadow"
"RAM #02","R-02","RAM",2017,560332.196155,4914805.63655,"Alnus incana","ALIN2",5,15,2.5,"native",1,"Southwest of New Mills Meadow"
"RAM #02","R-02","RAM",2017,560332.196155,4914805.63655,"Alnus incana ssp. Rugosa","ALINR",5,10,2.5,"native",1,"Southwest of New Mills Meadow"
"RAM #02","R-02","RAM",2017,560332.196155,4914805.63655,"Betula populifolia","BEPO",5,7,2,"native",1,"Southwest of New Mills Meadow"
"RAM #02","R-02","RAM",2017,560332.196155,4914805.63655,"Betula populifolia","BEPO",5,20,2,"native",1,"Southwest of New Mills Meadow"
"RAM #02","R-02","RAM",2017,560332.196155,4914805.63655,"Calamagrostis canadensis","CACA4",4,0.1,2.33,"native",1,"Southwest of New Mills Meadow"
"RAM #02","R-02","RAM",2017,560332.196155,4914805.63655,"Calamagrostis canadensis","CACA4",4,3,2.33,"native",1,"Southwest of New Mills Meadow"
"RAM #02","R-02","RAM",2017,560332.196155,4914805.63655,"Carex lasiocarpa","CALA11",4,2,6,"native",0,"Southwest of New Mills Meadow"
"RAM #02","R-02","RAM",2017,560332.196155,4914805.63655,"Carex lasiocarpa","CALA11",4,20,6,"native",0,"Southwest of New Mills Meadow"
"RAM #02","R-02","RAM",2017,560332.196155,4914805.63655,"Carex stricta","CAST8",4,30,4.5,"native",0,"Southwest of New Mills Meadow"
"RAM #02","R-02","RAM",2017,560332.196155,4914805.63655,"Carex stricta","CAST8",4,30,4.5,"native",0,"Southwest of New Mills Meadow"
"RAM #02","R-02","RAM",2017,560332.196155,4914805.63655,"Eriophorum virginicum","ERVI8",4,0.1,6.5,"native",0,"Southwest of New Mills Meadow"
"RAM #02","R-02","RAM",2017,560332.196155,4914805.63655,"Eriophorum virginicum","ERVI8",4,3,6.5,"native",0,"Southwest of New Mills Meadow"
"RAM #02","R-02","RAM",2017,560332.196155,4914805.63655,"Myrica gale","MYGA",5,40,5,"native",0,"Southwest of New Mills Meadow"
"RAM #02","R-02","RAM",2017,560332.196155,4914805.63655,"Myrica gale","MYGA",5,30,5,"native",0,"Southwest of New Mills Meadow"
"RAM #02","R-02","RAM",2017,560332.196155,4914805.63655,"Osmunda regalis","OSRE",4,0.1,6,"native",0,"Southwest of New Mills Meadow"
"RAM #02","R-02","RAM",2017,560332.196155,4914805.63655,"Osmundastrum cinnamomea","OSCI2",4,0.1,3.5,"native",1,"Southwest of New Mills Meadow"
"RAM #02","R-02","RAM",2017,560332.196155,4914805.63655,"Osmundastrum cinnamomea","OSCI2",4,3,3.5,"native",1,"Southwest of New Mills Meadow"
"RAM #02","R-02","RAM",2017,560332.196155,4914805.63655,"Rhododendron canadense","RHCA6",5,5,5.5,"native",0,"Southwest of New Mills Meadow"
"RAM #02","R-02","RAM",2017,560332.196155,4914805.63655,"Rubus hispidus","RUHI",5,35,3,"native",1,"Southwest of New Mills Meadow"
"RAM #02","R-02","RAM",2017,560332.196155,4914805.63655,"Spiraea alba","SPAL2",5,10,2,"native",1,"Southwest of New Mills Meadow"
"RAM #02","R-02","RAM",2017,560332.196155,4914805.63655,"Typha latifolia","TYLA",4,3,2,"native",1,"Southwest of New Mills Meadow"
"RAM #02","R-02","RAM",2017,560332.196155,4914805.63655,"Vaccinium corymbosum","VACO",5,1,4,"native",1,"Southwest of New Mills Meadow"
"RAM #02","R-02","RAM",2017,560332.196155,4914805.63655,"Vaccinium macrocarpon","VAMA",5,1,5,"native",0,"Southwest of New Mills Meadow"
"RAM #02","R-02","RAM",2022,560332.196155,4914805.63655,"Acer rubrum","ACRU",5,5,2.5,"native",1,"Southwest of New Mills Meadow"
"RAM #02","R-02","RAM",2022,560332.196155,4914805.63655,"Alnus incana","ALIN2",5,7,2.5,"native",1,"Southwest of New Mills Meadow"
"RAM #02","R-02","RAM",2022,560332.196155,4914805.63655,"Betula populifolia","BEPO",5,7,2,"native",1,"Southwest of New Mills Meadow"
"RAM #02","R-02","RAM",2022,560332.196155,4914805.63655,"Carex lasiocarpa","CALA11",4,2,6,"native",0,"Southwest of New Mills Meadow"
"RAM #02","R-02","RAM",2022,560332.196155,4914805.63655,"Carex stricta","CAST8",4,30,4.5,"native",0,"Southwest of New Mills Meadow"
"RAM #02","R-02","RAM",2022,560332.196155,4914805.63655,"Eriophorum tenellum","ERTE12",4,0.1,7,"native",0,"Southwest of New Mills Meadow"
"RAM #02","R-02","RAM",2022,560332.196155,4914805.63655,"Eriophorum virginicum","ERVI8",4,1,6.5,"native",0,"Southwest of New Mills Meadow"
"RAM #02","R-02","RAM",2022,560332.196155,4914805.63655,"Myrica gale","MYGA",5,35,5,"native",0,"Southwest of New Mills Meadow"
"RAM #02","R-02","RAM",2022,560332.196155,4914805.63655,"Osmunda regalis","OSRE",4,0.1,6,"native",0,"Southwest of New Mills Meadow"
"RAM #02","R-02","RAM",2022,560332.196155,4914805.63655,"Rhododendron canadense","RHCA6",5,5,5.5,"native",0,"Southwest of New Mills Meadow"
"RAM #02","R-02","RAM",2022,560332.196155,4914805.63655,"Rubus hispidus","RUHI",5,20,3,"native",1,"Southwest of New Mills Meadow"
"RAM #02","R-02","RAM",2022,560332.196155,4914805.63655,"Typha latifolia","TYLA",4,0.1,2,"native",1,"Southwest of New Mills Meadow"
"RAM #03","R-03","RAM",2012,553060.802718,4899645.99502,"Carex trisperma","CATR10",3,1,5,"native",0,"Bass Harbor Marsh #2"
"RAM #03","R-03","RAM",2012,553060.802718,4899645.99502,"Gaylussacia baccata","GABA",5,1,5,"native",0,"Bass Harbor Marsh #2"
"RAM #03","R-03","RAM",2012,553060.802718,4899645.99502,"Ilex mucronata","ILMU",5,20,4.5,"native",0,"Bass Harbor Marsh #2"
"RAM #03","R-03","RAM",2012,553060.802718,4899645.99502,"Maianthemum trifolium","MATR4",3,15,7.5,"native",0,"Bass Harbor Marsh #2"
