"species","common.name","label","longitude","latitude","site.type","year","pct.freq","avg.cov","invasive"
"Abies balsamea","balsam fir","RAM-29",-68.37987394,44.3424227,"RAM",2019,100,NA,FALSE
"Abies balsamea","balsam fir","RAM-16",-68.3481271,44.27841031,"RAM",2018,100,NA,FALSE
"Abies balsamea","balsam fir","RAM-25",-68.34868052,44.28223972,"RAM",2019,50,NA,FALSE
"Abies balsamea","balsam fir","RAM-22",-68.3841871,44.33756254,"RAM",2019,100,NA,FALSE
"Abies balsamea","balsam fir","RAM-15",-68.39214231,44.29095012,"RAM",2018,100,NA,FALSE
"Abies balsamea","balsam fir","RAM-21",-68.35327308,44.27259396,"RAM",2019,100,NA,FALSE
"Abies balsamea","balsam fir","RAM-30",-68.23693131,44.38148925,"RAM",2019,50,NA,FALSE
"Abies balsamea","balsam fir","RAM-26",-68.28860457,44.32545225,"RAM",2019,100,NA,FALSE
"Abies balsamea","balsam fir","Western Mtn. Swamp",-68.36793572,44.28553673,"Sentinel",2011,80,0.08,FALSE
"Abies balsamea","balsam fir","RAM-11",-68.06659455,44.35799607,"RAM",2018,25,NA,FALSE
"Abies balsamea","balsam fir","RAM-20",-68.34977938,44.25974494,"RAM",2018,75,NA,FALSE
"Abies balsamea","balsam fir","Hodgdon Swamp",-68.39378049,44.32866631,"Sentinel",2011,60,5.6,FALSE
"Acer pensylvanicum","striped maple","RAM-15",-68.39214231,44.29095012,"RAM",2018,100,NA,FALSE
"Acer pensylvanicum","striped maple","Western Mtn. Swamp",-68.36793572,44.28553673,"Sentinel",2011,80,0.08,FALSE
"Acer pensylvanicum","striped maple","RAM-22",-68.3841871,44.33756254,"RAM",2019,75,NA,FALSE
"Acer rubrum","red maple","RAM-12",-68.31633807,44.41337469,"RAM",2018,75,NA,FALSE
"Acer rubrum","red maple","RAM-17",-68.25500862,44.38420813,"RAM",2018,25,NA,FALSE
"Acer rubrum","red maple","Big Heath",-68.32040359,44.23614962,"Sentinel",2011,20,0.02,FALSE
"Acer rubrum","red maple","RAM-21",-68.35327308,44.27259396,"RAM",2019,100,NA,FALSE
"Acer rubrum","red maple","RAM-15",-68.39214231,44.29095012,"RAM",2018,100,NA,FALSE
"Acer rubrum","red maple","RAM-18",-68.29573187,44.37963654,"RAM",2018,100,NA,FALSE
"Acer rubrum","red maple","Gilmore Meadow",-68.27163738,44.36272678,"Sentinel",2011,40,0.04,FALSE
"Acer rubrum","red maple","Great Meadow (IAH)",-68.61602787,44.04849142,"Sentinel",2011,40,0.04,FALSE
"Acer rubrum","red maple","Western Mtn. Swamp",-68.36793572,44.28553673,"Sentinel",2011,100,0.48,FALSE
"Acer rubrum","red maple","RAM-20",-68.34977938,44.25974494,"RAM",2018,100,NA,FALSE
"Acer rubrum","red maple","RAM-23",-68.24042204,44.39152054,"RAM",2019,100,NA,FALSE
"Acer rubrum","red maple","Frazer Fen",-68.06153589,44.36231448,"Sentinel",2011,80,0.08,FALSE
"Acer rubrum","red maple","RAM-29",-68.37987394,44.3424227,"RAM",2019,100,NA,FALSE
"Acer rubrum","red maple","New Mills Meadow",-68.23956376,44.390978,"Sentinel",2011,100,0.1,FALSE
"Acer rubrum","red maple","Hodgdon Swamp",-68.39378049,44.32866631,"Sentinel",2011,100,0.1,FALSE
"Acer rubrum","red maple","RAM-28",-68.2929369,44.38005757,"RAM",2019,75,NA,FALSE
"Acer rubrum","red maple","Duck Pond",-68.37978134,44.319544,"Sentinel",2011,100,0.1,FALSE
"Acer rubrum","red maple","RAM-16",-68.3481271,44.27841031,"RAM",2018,100,NA,FALSE
"Acer rubrum","red maple","Heath Brook",-68.36971394,44.27832207,"Sentinel",2011,40,0.22,FALSE
"Acer rubrum","red maple","RAM-27",-68.18229706,44.34310574,"RAM",2019,75,NA,FALSE
"Acer rubrum","red maple","RAM-25",-68.34868052,44.28223972,"RAM",2019,100,NA,FALSE
"Acer rubrum","red maple","RAM-11",-68.06659455,44.35799607,"RAM",2018,50,NA,FALSE
"Acer rubrum","red maple","RAM-14",-68.31592878,44.41210554,"RAM",2018,50,NA,FALSE
