"site.name","local.id","site.type","year","xcoord","ycoord","species","plant.code","avg.cov","coc","nativity","stress.tol","notes"
"NWCA11-R303","BIGH","SEN",2011,554269.490012,4898325.52487,"ACER RUBRUM","ACRU",0.02,3,"native",1,"Big Heath"
"NWCA16-R303","BIGH","SEN",2016,554269.490012,4898325.52487,"ACER RUBRUM","ACRU",0.02,3,"native",1,"Big Heath"
"NWC21-ME-HP303","BIGH","SEN",2021,554269.490012,4898325.52487,"ACER RUBRUM","ACRU",0.02,3,"native",1,"Big Heath"
"NWCA11-R303","BIGH","SEN",2011,554269.490012,4898325.52487,"AMELANCHIER","AMELA",0.02,4.33333333333333,"native",0,"Big Heath"
"NWCA16-R303","BIGH","SEN",2016,554269.490012,4898325.52487,"AMELANCHIER","AMELA",0.02,4.33333333333333,"native",0,"Big Heath"
"NWC21-ME-HP303","BIGH","SEN",2021,554269.490012,4898325.52487,"AMELANCHIER","AMELA",0.02,4.33333333333333,"native",0,"Big Heath"
"NWCA11-R303","BIGH","SEN",2011,554269.490012,4898325.52487,"ANDROMEDA POLIFOLIA","ANPO",2.22,7,"native",0,"Big Heath"
"NWCA16-R303","BIGH","SEN",2016,554269.490012,4898325.52487,"ANDROMEDA POLIFOLIA","ANPO",0.48,7,"native",0,"Big Heath"
"NWC21-ME-HP303","BIGH","SEN",2021,554269.490012,4898325.52487,"ANDROMEDA POLIFOLIA VAR. GLAUCOPHYLLA","ANPOG",2.22,7,"native",0,"Big Heath"
"NWCA11-R303","BIGH","SEN",2011,554269.490012,4898325.52487,"ARETHUSA BULBOSA","ARBU",0.04,9,"native",0,"Big Heath"
"NWCA16-R303","BIGH","SEN",2016,554269.490012,4898325.52487,"ARETHUSA BULBOSA","ARBU",0.06,9,"native",0,"Big Heath"
"NWC21-ME-HP303","BIGH","SEN",2021,554269.490012,4898325.52487,"ARETHUSA BULBOSA","ARBU",0.04,9,"native",0,"Big Heath"
"NWCA11-R303","BIGH","SEN",2011,554269.490012,4898325.52487,"ARONIA MELANOCARPA","ARME6",2.64,5,"native",0,"Big Heath"
"NWCA16-R303","BIGH","SEN",2016,554269.490012,4898325.52487,"ARONIA MELANOCARPA","ARME6",0.28,5,"native",0,"Big Heath"
"NWC21-ME-HP303","BIGH","SEN",2021,554269.490012,4898325.52487,"ARONIA MELANOCARPA","ARME6",3.02,5,"native",0,"Big Heath"
"NWCA16-R303","BIGH","SEN",2016,554269.490012,4898325.52487,"CALOPOGON TUBEROSUS","CATU5",0.02,7,"native",0,"Big Heath"
"NWC21-ME-HP303","BIGH","SEN",2021,554269.490012,4898325.52487,"CALOPOGON TUBEROSUS VAR. TUBEROSUS","CATUT",0.02,7,"native",0,"Big Heath"
"NWCA11-R303","BIGH","SEN",2011,554269.490012,4898325.52487,"CAREX EXILIS","CAEX7",6.6,8,"native",0,"Big Heath"
"NWCA16-R303","BIGH","SEN",2016,554269.490012,4898325.52487,"CAREX EXILIS","CAEX7",5.22,8,"native",0,"Big Heath"
"NWC21-ME-HP303","BIGH","SEN",2021,554269.490012,4898325.52487,"CAREX EXILIS","CAEX7",4.02,8,"native",0,"Big Heath"
