"site.name","local.id","site.type","year","xcoord","ycoord","mean.coc","inv.cov","bryo.cov","strtol.cov","vmmi","vmmi.rating","notes"
"NWCA11-R303","BIGH","SEN",2011,554269.490012,4898325.52487,5.76,0,96.6,3.66,89.70467738,"Good","Big Heath"
"NWCA16-R303","BIGH","SEN",2016,554269.490012,4898325.52487,5.76576576576577,0,97.4,2.72,90.0794793760864,"Good","Big Heath"
"NWC21-ME-HP303","BIGH","SEN",2021,554269.490012,4898325.52487,5.85470085470085,0,97.6,2.52,90.6862098622296,"Good","Big Heath"
"NWCA11-R301","DUCK","SEN",2011,549457.841841,4907550.89876,5.02,0,98.6,5.14,85.61658987,"Good","Duck Pond"
"NWCA16-R301","DUCK","SEN",2016,549457.841841,4907550.89876,5.45,0,40,14.06,71.4232574814853,"Good","Duck Pond"
"NWC21-ME-HP301","DUCK","SEN",2021,549457.841841,4907550.89876,5.30769230769231,0,48,5.6,74.211989929051,"Good","Duck Pond"
"NWCA11-R310","FRAZ","SEN",2011,574781.215524,4912542.80602,5.18,0,95,11,84.65370652,"Good","Frazer Fen"
"NWCA16-R310","FRAZ","SEN",2016,574781.215524,4912542.80602,5.12745098039216,0,99,66.24,75.0001615052911,"Good","Frazer Fen"
"NWC21-ME-HP310","FRAZ","SEN",2021,574781.215524,4912542.80602,5.21111111111111,0,98,77.4,73.1637875790012,"Good","Frazer Fen"
"NWCA11-R304","GILM","SEN",2011,558038.912706,4912418.31945,4.42,0,1.26,3.9,57.38588409,"Fair","Gilmore Meadow"
"NWCA16-R304","GILM","SEN",2016,558038.912706,4912418.31945,4.56521739130435,0,2.44,5.4,58.2417571965273,"Fair","Gilmore Meadow"
"NWC21-ME-HP304","GILM","SEN",2021,558038.912706,4912418.31945,4.46666666666667,0,8.42,11.12,58.1405071275599,"Fair","Gilmore Meadow"
"NWCA11-R307","GRME","SEN",2011,530759.542631,4877329.3529,5.84,0,53,29.5,74.56055598,"Good","Great Meadow"
"NWCA16-R307","GRME","SEN",2016,530759.542631,4877329.3529,5.86666666666667,0,86.4,0.4,88.2776051395476,"Good","Great Meadow"
"NWC21-ME-HP307","GRME","SEN",2021,530759.542631,4877329.3529,5.8,0,35,0.62,74.6717667711752,"Good","Great Meadow"
"NWCA11-R308","HEBR","SEN",2011,550295.821627,4902978.34333,4.33,0,85.6,31.74,73.73185521,"Good","Heath Brook"
"NWCA16-R308","HEBR","SEN",2016,550295.821627,4902978.34333,4.69333333333333,0,92.8,47.02,74.4413013167686,"Good","Heath Brook"
"NWC21-ME-HP308","HEBR","SEN",2021,550295.821627,4902978.34333,4.59139784946237,0,77.6,42.94,70.7064970847501,"Good","Heath Brook"
