"Code","Location_ID","Visit_ID","Panel","xCoordinate","yCoordinate","UTM_Zone","Date","Year","Visit_Type","limited_RAM","meanC","Bryophyte_Cover","Invasive_Cover","Cover_Tolerant","vmmi","vmmi_rating"
"GRME01",218,NA,NA,563119,4912595,"19N","7/16/2015",2015,"VS",1,4.26666666666667,31,0.1,80,49.9356587049689,"Poor"
"GRME02",223,NA,NA,563071,4913162,"19N","7/23/2015",2015,"VS",1,3.67857142857143,1.6,0.1,103,34.709550659615,"Poor"
"GRME03",215,NA,NA,562824,4912845,"19N","7/28/2015",2015,"VS",1,4.04166666666667,24.4,0.1,89,45.2647234230242,"Poor"
"GRME04",222,NA,NA,562910,4912898,"19N","7/30/2015",2015,"VS",1,3.82608695652174,10.4,5,125,30.5320033655471,"Poor"
"GRME05",219,NA,NA,563200,4912819,"19N","8/10/2015",2015,"VS",1,4.05882352941176,0,0,119,33.6171306453341,"Poor"
"GRME06",221,NA,NA,563011,4912923,"19N","8/10/2015",2015,"VS",1,3.9,2,26,135,13.1685447777926,"Poor"
"GRME07",217,NA,NA,563061,4912558,"19N","8/14/2015",2015,"VS",1,3.9,NA,0,85,NA,NA
"GRME08",214,NA,NA,563371,4912986,"19N","8/14/2015",2015,"VS",1,3.52,NA,0,165,NA,NA
"GRME09",216,NA,NA,562963,4912763,"19N","8/14/2015",2015,"VS",1,4.03225806451613,NA,26,77,NA,NA
"GRME10",220,NA,NA,563256,4912949,"19N","8/14/2015",2015,"VS",1,4.16666666666667,NA,0.1,120,NA,NA
"GRME01",218,NA,NA,563119,4912595,"19N","8/14/2020",2020,"VS",1,4.05,8.75,0.1,56,47.415500591208,"Poor"
"GRME02",223,NA,NA,563071,4913162,"19N","8/12/2020",2020,"VS",1,3.75,1,0.1,124,31.0813041950137,"Poor"
"GRME03",215,NA,NA,562824,4912845,"19N","8/14/2020",2020,"VS",1,3.97058823529412,3.25,0.1,122,33.3144619209459,"Poor"
"GRME04",222,NA,NA,562910,4912898,"19N","8/14/2020",2020,"VS",1,3.7741935483871,5,0.1,102,36.3238061150296,"Poor"
"GRME05",219,NA,NA,563200,4912819,"19N","8/12/2020",2020,"VS",1,3.85,0,0,59,43.5164484667284,"Poor"
"GRME06",221,NA,NA,563011,4912923,"19N","8/14/2020",2020,"VS",1,3.85714285714286,11.75,5,83,38.8406927379712,"Poor"
"GRME07",217,NA,NA,563061,4912558,"19N","8/14/2020",2020,"VS",1,3.85,32.5,0.1,104,43.4448030214296,"Poor"
"GRME08",214,NA,NA,563371,4912986,"19N","8/12/2020",2020,"VS",1,3.46666666666667,0.25,0.1,81,37.2043478930754,"Poor"
"GRME09",216,NA,NA,562963,4912763,"19N","8/14/2020",2020,"VS",1,4.22857142857143,5.5,5,38,47.7409784162814,"Poor"
"GRME10",220,NA,NA,563256,4912949,"19N","8/12/2020",2020,"VS",1,3.92857142857143,0,0.1,63,43.1676816446054,"Poor"
"GRME01",218,NA,NA,563119,4912595,"19N","7/27/2023",2023,"VS",1,3.93333333333333,6,0.1,85,40.6574785356328,"Poor"
"GRME02",223,NA,NA,563071,4913162,"19N","7/25/2023",2023,"VS",1,4,0,0.1,118,33.3938646466837,"Poor"
"GRME03",215,NA,NA,562824,4912845,"19N","7/27/2023",2023,"VS",1,4,0,0.1,146,29.9393949777742,"Poor"
"GRME04",222,NA,NA,562910,4912898,"19N","7/27/2023",2023,"VS",1,3.93548387096774,5.75,0.1,137,31.0373508804404,"Poor"
"GRME05",219,NA,NA,563200,4912819,"19N","7/25/2023",2023,"VS",1,4.54166666666667,0,0,72,45.1396045524547,"Poor"
"GRME06",221,NA,NA,563011,4912923,"19N","7/27/2023",2023,"VS",1,4.15384615384615,3.75,0.1,139,31.7974870123683,"Poor"
"GRME07",217,NA,NA,563061,4912558,"19N","7/27/2023",2023,"VS",1,3.88235294117647,20.75,0.1,97,41.9181885167549,"Poor"
"GRME08",214,NA,NA,563371,4912986,"19N","7/25/2023",2023,"VS",1,3.56521739130435,0,0,67,40.374235749979,"Poor"
"GRME09",216,NA,NA,562963,4912763,"19N","7/27/2023",2023,"VS",1,3.81481481481481,16.5,0.1,85,42.6583235330653,"Poor"
"GRME10",220,NA,NA,563256,4912949,"19N","7/25/2023",2023,"VS",1,3.77777777777778,0,0,70,41.0574280359763,"Poor"
