"Code","Location_ID","Visit_ID","Panel","xCoordinate","yCoordinate","UTM_Zone","Latitude","Longitude","Date","Year","Visit_Type","limited_RAM","TSN","Latin_Name","Common","quad_freq","PLANTS_Code","CoC_ME_ACAD","Invasive","Protected_species","Coef_wetness"
"GRME01",218,NA,NA,563119,4912595,"19N",NA,NA,"7/16/2015",2015,"VS",1,897944,"Osmundastrum cinnamomea","cinnamon fern",NA,"OSCI2",4,FALSE,FALSE,-3
"GRME01",218,NA,NA,563119,4912595,"19N",NA,NA,"7/16/2015",2015,"VS",1,17218,"Osmunda regalis","royal fern",NA,"OSRE",6,FALSE,FALSE,0
"GRME01",218,NA,NA,563119,4912595,"19N",NA,NA,"7/16/2015",2015,"VS",1,27985,"Ilex verticillata","common winterberry",NA,"ILVE",4,FALSE,FALSE,-3
"GRME01",218,NA,NA,563119,4912595,"19N",NA,NA,"7/16/2015",2015,"VS",1,19471,"Alnus incana","gray alder",NA,"ALIN2",3,FALSE,FALSE,-3
"GRME01",218,NA,NA,563119,4912595,"19N",NA,NA,"7/16/2015",2015,"VS",1,503278,"Kalmia angustifolia","sheep laurel",NA,"KAAN",4,FALSE,FALSE,0
"GRME01",218,NA,NA,563119,4912595,"19N",NA,NA,"7/16/2015",2015,"VS",1,NA,"Lysimachia borealis",NA,NA,NA,NA,NA,NA,NA
"GRME01",218,NA,NA,563119,4912595,"19N",NA,NA,"7/16/2015",2015,"VS",1,17531,"Dryopteris cristata","crested woodfern",NA,"DRCR4",6,FALSE,FALSE,-5
"GRME01",218,NA,NA,563119,4912595,"19N",NA,NA,"7/16/2015",2015,"VS",1,NA,"Juncas pylaei",NA,NA,NA,NA,NA,NA,NA
"GRME01",218,NA,NA,563119,4912595,"19N",NA,NA,"7/16/2015",2015,"VS",1,40243,"Scirpus atrocinctus","blackgirdle bulrush",NA,"SCAT4",3,FALSE,FALSE,-5
"GRME01",218,NA,NA,563119,4912595,"19N",NA,NA,"7/16/2015",2015,"VS",1,NA,"Frangula alnus",NA,NA,NA,NA,NA,NA,NA
"GRME01",218,NA,NA,563119,4912595,"19N",NA,NA,"7/16/2015",2015,"VS",1,39409,"Carex lacustris","hairy sedge",NA,"CALA16",4,FALSE,FALSE,-5
"GRME01",218,NA,NA,563119,4912595,"19N",NA,NA,"7/16/2015",2015,"VS",1,39447,"Carex canescens","silvery sedge",NA,"CACA11",5,FALSE,FALSE,-5
"GRME01",218,NA,NA,563119,4912595,"19N",NA,NA,"7/16/2015",2015,"VS",1,39450,"Carex atlantica","prickly bog sedge",NA,"CAAT4",6,FALSE,FALSE,-3
"GRME01",218,NA,NA,563119,4912595,"19N",NA,NA,"7/16/2015",2015,"VS",1,24943,"Rubus hispidus","bristly dewberry",NA,"RUHI",3,FALSE,FALSE,-3
"GRME01",218,NA,NA,563119,4912595,"19N",NA,NA,"7/16/2015",2015,"VS",1,23711,"Rhododendron canadense","rhodora",NA,"RHCA6",5,FALSE,FALSE,-3
"GRME01",218,NA,NA,563119,4912595,"19N",NA,NA,"7/16/2015",2015,"VS",1,21475,"Triadenum virginicum","Virginia marsh St. Johnswort",NA,"TRVI2",6,FALSE,FALSE,0
"GRME01",218,NA,NA,563119,4912595,"19N",NA,NA,"7/16/2015",2015,"VS",1,19497,"Betula populifolia","gray birch",NA,"BEPO",2,FALSE,FALSE,0
"GRME01",218,NA,NA,563119,4912595,"19N",NA,NA,"7/16/2015",2015,"VS",1,23985,"Lysimachia terrestris","earth loosestrife",NA,"LYTE2",3,FALSE,FALSE,-5
"GRME01",218,NA,NA,563119,4912595,"19N",NA,NA,"8/14/2020",2020,"VS",1,183412,"Larix laricina","tamarack",NA,"LALA",4,FALSE,FALSE,-3
"GRME01",218,NA,NA,563119,4912595,"19N",NA,NA,"8/14/2020",2020,"VS",1,897944,"Osmundastrum cinnamomea","cinnamon fern",NA,"OSCI2",4,FALSE,FALSE,-3
"GRME01",218,NA,NA,563119,4912595,"19N",NA,NA,"8/14/2020",2020,"VS",1,28728,"Acer rubrum","red maple",NA,"ACRU",3,FALSE,FALSE,0
"GRME01",218,NA,NA,563119,4912595,"19N",NA,NA,"8/14/2020",2020,"VS",1,40544,"Calamagrostis canadensis","bluejoint",NA,"CACA4",3,FALSE,FALSE,-5
"GRME01",218,NA,NA,563119,4912595,"19N",NA,NA,"8/14/2020",2020,"VS",1,19265,"Myrica gale","sweetgale",NA,"MYGA",5,FALSE,FALSE,-5
"GRME01",218,NA,NA,563119,4912595,"19N",NA,NA,"8/14/2020",2020,"VS",1,27985,"Ilex verticillata","common winterberry",NA,"ILVE",4,FALSE,FALSE,-3
"GRME01",218,NA,NA,563119,4912595,"19N",NA,NA,"8/14/2020",2020,"VS",1,181888,"Alnus incana ssp. Rugosa","speckled alder",NA,"ALINR",3,FALSE,FALSE,-3
"GRME01",218,NA,NA,563119,4912595,"19N",NA,NA,"8/14/2020",2020,"VS",1,NA,"Bryophytes",NA,NA,NA,NA,NA,NA,NA
"GRME01",218,NA,NA,563119,4912595,"19N",NA,NA,"8/14/2020",2020,"VS",1,503278,"Kalmia angustifolia","sheep laurel",NA,"KAAN",4,FALSE,FALSE,0
"GRME01",218,NA,NA,563119,4912595,"19N",NA,NA,"8/14/2020",2020,"VS",1,23711,"Rhododendron canadense","rhodora",NA,"RHCA6",5,FALSE,FALSE,-3
"GRME01",218,NA,NA,563119,4912595,"19N",NA,NA,"8/14/2020",2020,"VS",1,19497,"Betula populifolia","gray birch",NA,"BEPO",2,FALSE,FALSE,0
"GRME01",218,NA,NA,563119,4912595,"19N",NA,NA,"8/14/2020",2020,"VS",1,25329,"Spiraea alba","white meadowsweet",NA,"SPAL2",3,FALSE,FALSE,-3
"GRME01",218,NA,NA,563119,4912595,"19N",NA,NA,"8/14/2020",2020,"VS",1,23985,"Lysimachia terrestris","earth loosestrife",NA,"LYTE2",3,FALSE,FALSE,-5
"GRME01",218,NA,NA,563119,4912595,"19N",NA,NA,"8/14/2020",2020,"VS",1,21473,"Triadenum fraseri","Fraser's St. Johnswort",NA,"TRFR",6,FALSE,FALSE,0
"GRME01",218,NA,NA,563119,4912595,"19N",NA,NA,"8/14/2020",2020,"VS",1,40842,"Glyceria canadensis","rattlesnake mannagrass",NA,"GLCA",4,FALSE,FALSE,-5
"GRME01",218,NA,NA,563119,4912595,"19N",NA,NA,"8/14/2020",2020,"VS",1,40841,"Glyceria borealis","small floating mannagrass",NA,"GLBO",6,FALSE,FALSE,-5
"GRME01",218,NA,NA,563119,4912595,"19N",NA,NA,"8/14/2020",2020,"VS",1,17251,"Thelypteris palustris","eastern marsh fern",NA,"THPA",3,FALSE,FALSE,-3
"GRME01",218,NA,NA,563119,4912595,"19N",NA,NA,"8/14/2020",2020,"VS",1,NA,"Rhamnus alnifolia",NA,NA,NA,NA,NA,NA,NA
"GRME01",218,NA,NA,563119,4912595,"19N",NA,NA,"8/14/2020",2020,"VS",1,17218,"Osmunda regalis","royal fern",NA,"OSRE",6,FALSE,FALSE,0
"GRME01",218,NA,NA,563119,4912595,"19N",NA,NA,"8/14/2020",2020,"VS",1,NA,"Dulichium",NA,NA,NA,NA,NA,NA,NA
"GRME01",218,NA,NA,563119,4912595,"19N",NA,NA,"8/14/2020",2020,"VS",1,23573,"Vaccinium corymbosum","highbush blueberry",NA,"VACO",4,FALSE,FALSE,-3
"GRME01",218,NA,NA,563119,4912595,"19N",NA,NA,"8/14/2020",2020,"VS",1,25127,"Aronia melanocarpa","black chokeberry",NA,"ARME6",5,FALSE,FALSE,0
"GRME01",218,NA,NA,563119,4912595,"19N",NA,NA,"8/14/2020",2020,"VS",1,39409,"Carex lacustris","hairy sedge",NA,"CALA16",4,FALSE,FALSE,-5
"GRME01",218,NA,NA,563119,4912595,"19N",NA,NA,"7/27/2023",2023,"VS",1,897944,"Osmundastrum cinnamomea","cinnamon fern",NA,"OSCI2",4,FALSE,FALSE,-3
"GRME01",218,NA,NA,563119,4912595,"19N",NA,NA,"7/27/2023",2023,"VS",1,28728,"Acer rubrum","red maple",NA,"ACRU",3,FALSE,FALSE,0
"GRME01",218,NA,NA,563119,4912595,"19N",NA,NA,"7/27/2023",2023,"VS",1,NA,"Alnus incana ssp. rugosa",NA,NA,NA,NA,NA,NA,NA
"GRME01",218,NA,NA,563119,4912595,"19N",NA,NA,"7/27/2023",2023,"VS",1,19497,"Betula populifolia","gray birch",NA,"BEPO",2,FALSE,FALSE,0
"GRME01",218,NA,NA,563119,4912595,"19N",NA,NA,"7/27/2023",2023,"VS",1,40544,"Calamagrostis canadensis","bluejoint",NA,"CACA4",3,FALSE,FALSE,-5
"GRME01",218,NA,NA,563119,4912595,"19N",NA,NA,"7/27/2023",2023,"VS",1,39450,"Carex atlantica","prickly bog sedge",NA,"CAAT4",6,FALSE,FALSE,-3
"GRME01",218,NA,NA,563119,4912595,"19N",NA,NA,"7/27/2023",2023,"VS",1,39409,"Carex lacustris","hairy sedge",NA,"CALA16",4,FALSE,FALSE,-5
"GRME01",218,NA,NA,563119,4912595,"19N",NA,NA,"7/27/2023",2023,"VS",1,39435,"Carex stricta","upright sedge",NA,"CAST8",4,FALSE,FALSE,-5
"GRME01",218,NA,NA,563119,4912595,"19N",NA,NA,"7/27/2023",2023,"VS",1,40009,"Dulichium arundinaceum","threeway sedge",NA,"DUAR3",5,FALSE,FALSE,-5
"GRME01",218,NA,NA,563119,4912595,"19N",NA,NA,"7/27/2023",2023,"VS",1,NA,"Frangula alnus",NA,NA,NA,NA,NA,NA,NA
"GRME01",218,NA,NA,563119,4912595,"19N",NA,NA,"7/27/2023",2023,"VS",1,40842,"Glyceria canadensis","rattlesnake mannagrass",NA,"GLCA",4,FALSE,FALSE,-5
"GRME01",218,NA,NA,563119,4912595,"19N",NA,NA,"7/27/2023",2023,"VS",1,27985,"Ilex verticillata","common winterberry",NA,"ILVE",4,FALSE,FALSE,-3
"GRME01",218,NA,NA,563119,4912595,"19N",NA,NA,"7/27/2023",2023,"VS",1,43196,"Iris versicolor","harlequin blueflag",NA,"IRVE2",3,FALSE,FALSE,-5
"GRME01",218,NA,NA,563119,4912595,"19N",NA,NA,"7/27/2023",2023,"VS",1,NA,"Juncus pylaei",NA,NA,NA,NA,NA,NA,NA
"GRME01",218,NA,NA,563119,4912595,"19N",NA,NA,"7/27/2023",2023,"VS",1,19265,"Myrica gale","sweetgale",NA,"MYGA",5,FALSE,FALSE,-5
"GRME01",218,NA,NA,563119,4912595,"19N",NA,NA,"7/27/2023",2023,"VS",1,17218,"Osmunda regalis","royal fern",NA,"OSRE",6,FALSE,FALSE,0
"GRME01",218,NA,NA,563119,4912595,"19N",NA,NA,"7/27/2023",2023,"VS",1,25329,"Spiraea alba","white meadowsweet",NA,"SPAL2",3,FALSE,FALSE,-3
"GRME01",218,NA,NA,563119,4912595,"19N",NA,NA,"7/27/2023",2023,"VS",1,17251,"Thelypteris palustris","eastern marsh fern",NA,"THPA",3,FALSE,FALSE,-3
