"Code","Location_ID","Visit_ID","Panel","Date","Year","Visit_Type","limited_RAM","Latin_Name","Common","Quadrat_NE","Quadrat_SE","Quadrat_SW","Quadrat_NW","quad_freq","Collected","Comments","TSN","Order","Family","Genus","Exotic","Invasive","PLANTS_Code","CoC_ME_ACAD","ACAD_ED","Aquatic","Fern_Ally","Graminoid","Herbaceous","Moss_Lichen","Shrub","Tree","Vine","Canopy_Exclusion","TSN_Accepted","Accepted_Latin_Name","Synonym","Author","Protected_species"
"GRME10",220,NA,NA,"8/14/2015",2015,"VS",1,"Carex lacustris","hairy sedge",1,1,1,1,NA,"0",NA,39409,"Poales","Cyperaceae","Carex",FALSE,FALSE,"CALA16",4,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,39409,"Carex lacustris",NA,"Willd.",FALSE
"GRME10",220,NA,NA,"8/14/2015",2015,"VS",1,"Calamagrostis canadensis","bluejoint",1,1,1,1,NA,"0",NA,40544,"Poales","Poaceae","Calamagrostis",FALSE,FALSE,"CACA4",3,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,40544,"Calamagrostis canadensis",NA,"(Michx.) P. Beauv.",FALSE
"GRME10",220,NA,NA,"8/14/2015",2015,"VS",1,"Spiraea alba","white meadowsweet",1,1,1,1,NA,"0",NA,25329,"Rosales","Rosaceae","Spiraea",FALSE,FALSE,"SPAL2",3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,25329,"Spiraea alba",NA,"Du Roi",FALSE
"GRME10",220,NA,NA,"8/14/2015",2015,"VS",1,"Carex stricta","upright sedge",1,1,1,1,NA,"0",NA,39435,"Poales","Cyperaceae","Carex",FALSE,FALSE,"CAST8",4,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,39435,"Carex stricta",NA,"Lam.",FALSE
"GRME10",220,NA,NA,"8/14/2015",2015,"VS",1,"Salix petiolaris","slender willow",1,1,0,0,NA,"0",NA,22567,"Malpighiales","Salicaceae","Salix",FALSE,FALSE,"SAPE5",3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,22567,"Salix petiolaris",NA,"Sm.",FALSE
"GRME10",220,NA,NA,"8/14/2015",2015,"VS",1,"Carex lasiocarpa","woolly-fruit sedge",1,1,1,1,NA,"0",NA,39459,"Poales","Cyperaceae","Carex",FALSE,FALSE,"CALA11",6,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,39459,"Carex lasiocarpa",NA,"Ehrh.",FALSE
"GRME10",220,NA,NA,"8/14/2015",2015,"VS",1,"Myrica gale","sweetgale",0,1,1,0,NA,"0",NA,19265,"Fagales","Myricaceae","Myrica",FALSE,FALSE,"MYGA",5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,19265,"Myrica gale",NA,"L.",FALSE
"GRME10",220,NA,NA,"8/14/2015",2015,"VS",1,"Dulichium arundinaceum","threeway sedge",0,0,1,1,NA,"0",NA,40009,"Poales","Cyperaceae","Dulichium",FALSE,FALSE,"DUAR3",5,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,40009,"Dulichium arundinaceum",NA,"(L.) Britton",FALSE
"GRME10",220,NA,NA,"8/14/2015",2015,"VS",1,"Triadenum fraseri","Fraser's St. Johnswort",1,0,1,0,NA,"0",NA,21473,"Malpighiales","Hypericaceae","Triadenum",FALSE,FALSE,"TRFR",6,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,21473,"Triadenum fraseri",NA,"(Spach) Gleason",FALSE
"GRME10",220,NA,NA,"8/14/2015",2015,"VS",1,"Juncus canadensis","Canadian rush",0,0,1,0,NA,"0",NA,39228,"Poales","Juncaceae","Juncus",FALSE,FALSE,"JUCA3",4,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,39228,"Juncus canadensis",NA,"J. Gay ex Laharpe",FALSE
"GRME10",220,NA,NA,"8/14/2015",2015,"VS",1,"Scirpus cyperinus","woolgrass",1,0,1,0,NA,"0",NA,40228,"Poales","Cyperaceae","Scirpus",FALSE,FALSE,"SCCY",2,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,40228,"Scirpus cyperinus",NA,"(L.) Kunth",FALSE
"GRME10",220,NA,NA,"8/14/2015",2015,"VS",1,"Frangula alnus",NA,0,0,0,1,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GRME10",220,NA,NA,"8/14/2015",2015,"VS",1,"Carex vesicaria","blister sedge",1,0,0,0,NA,"0",NA,39467,"Poales","Cyperaceae","Carex",FALSE,FALSE,"CAVE6",5,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,39467,"Carex vesicaria",NA,"L.",FALSE
"GRME09",216,NA,NA,"8/14/2015",2015,"VS",1,"Acer rubrum","red maple",1,1,1,1,NA,"0",NA,28728,"Sapindales","Sapindaceae","Acer",FALSE,FALSE,"ACRU",3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,28728,"Acer rubrum",NA,"L.",FALSE
"GRME03",215,NA,NA,"7/28/2015",2015,"VS",1,"Betula alleghaniensis","yellow birch",0,0,0,1,NA,"0",NA,19481,"Fagales","Betulaceae","Betula",FALSE,FALSE,"BEAL2",5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,19481,"Betula alleghaniensis",NA,"Britton",FALSE
"GRME09",216,NA,NA,"8/14/2015",2015,"VS",1,"Calamagrostis canadensis","bluejoint",1,1,0,1,NA,"0",NA,40544,"Poales","Poaceae","Calamagrostis",FALSE,FALSE,"CACA4",3,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,40544,"Calamagrostis canadensis",NA,"(Michx.) P. Beauv.",FALSE
