"Code","Location_ID","Visit_ID","Panel","Date","Year","Visit_Type","limited_RAM","Latin_Name","Common","Quadrat_NE","Quadrat_SE","Quadrat_SW","Quadrat_NW","quad_freq","Collected","Comments","TSN","Order","Family","Genus","Exotic","Invasive","PLANTS_Code","CoC_ME_ACAD","ACAD_ED","Aquatic","Fern_Ally","Graminoid","Herbaceous","Moss_Lichen","Shrub","Tree","Vine","Canopy_Exclusion","TSN_Accepted","Accepted_Latin_Name","Synonym","Author","Protected_species"
"GIME03",224,291,-1,2024-08-12,2024,"VS",1,"Unknown Rush - 01",NA,1,1,0,0,100,0,"#2",-9999999931,"Poales","Juncaceae",NA,FALSE,FALSE,NA,NA,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-9999999931,"Unknown Rush - 01",NA,"Undefined",FALSE
"GIME03",224,291,-1,2024-08-12,2024,"VS",1,"Unknown Carex - 01",NA,0,0,1,1,0,0,"Stellulatae group",-9999999901,"Poales","Cyperaceae","Carex",FALSE,FALSE,"CAREX_U1",4.4,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-9999999901,"Unknown Carex - 01",NA,"Undefined",FALSE
"GIME03",224,291,-1,2024-08-12,2024,"VS",1,"Thelypteris palustris","eastern marsh fern",1,1,1,1,100,0,NA,17251,"Polypodiales","Thelypteridaceae","Thelypteris",FALSE,FALSE,"THPA",3,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,17251,"Thelypteris palustris",NA,"Schott",FALSE
"GIME03",224,291,-1,2024-08-12,2024,"VS",1,"Onoclea sensibilis","sensitive fern",1,1,0,1,100,0,NA,17637,"Polypodiales","Onocleaceae","Onoclea",FALSE,FALSE,"ONSE",3,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,17637,"Onoclea sensibilis",NA,"L.",FALSE
"GIME03",224,291,-1,2024-08-12,2024,"VS",1,"Myrica gale","sweetgale",1,1,1,1,100,0,NA,19265,"Fagales","Myricaceae","Myrica",FALSE,FALSE,"MYGA",5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,19265,"Myrica gale",NA,"L.",FALSE
"GIME03",224,291,-1,2024-08-12,2024,"VS",1,"Quercus rubra","northern red oak",0,0,1,0,0,0,NA,19408,"Fagales","Fagaceae","Quercus",FALSE,FALSE,"QURU",4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,19408,"Quercus rubra",NA,"L.",FALSE
"GIME03",224,291,-1,2024-08-12,2024,"VS",1,"Alnus incana","gray alder",1,1,1,1,100,0,NA,19471,"Fagales","Betulaceae","Alnus",FALSE,FALSE,"ALIN2",3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,19471,"Alnus incana","Alnus incana ssp. rugosa","(L.) Moench",FALSE
"GIME03",224,291,-1,2024-08-12,2024,"VS",1,"Hypericum canadense","lesser Canadian St. Johnswort",1,1,0,1,100,0,NA,21417,"Malpighiales","Hypericaceae","Hypericum",FALSE,FALSE,"HYCA7",5,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,21417,"Hypericum canadense",NA,"L.",FALSE
"GIME03",224,291,-1,2024-08-12,2024,"VS",1,"Triadenum","marsh St. Johnswort",1,1,1,1,100,0,"acute",21472,"Malpighiales","Hypericaceae","Triadenum",FALSE,FALSE,"TRIAD",6,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,21472,"Triadenum",NA,"Raf.",FALSE
"GIME03",224,291,-1,2024-08-12,2024,"VS",1,"Drosera rotundifolia","round-leaf sundew",0,1,1,1,0,0,NA,22017,"Caryophyllales","Droseraceae","Drosera",FALSE,FALSE,"DRRO",4,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,22017,"Drosera rotundifolia",NA,"L.",FALSE
"GIME03",224,291,-1,2024-08-12,2024,"VS",1,"Chamaedaphne calyculata","leatherleaf",1,1,1,1,100,0,NA,23637,"Ericales","Ericaceae","Chamaedaphne",FALSE,FALSE,"CHCA2",5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,23637,"Chamaedaphne calyculata",NA,"(L.) Moench",FALSE
"GIME03",224,291,-1,2024-08-12,2024,"VS",1,"Rhododendron canadense","rhodora",1,1,1,0,100,0,NA,23711,"Ericales","Ericaceae","Rhododendron",FALSE,FALSE,"RHCA6",5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,23711,"Rhododendron canadense",NA,"(L.) Torr.",FALSE
"GIME03",224,291,-1,2024-08-12,2024,"VS",1,"Lysimachia terrestris","earth loosestrife",1,1,1,1,100,0,NA,23985,"Ericales","Primulaceae","Lysimachia",FALSE,FALSE,"LYTE2",3,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,23985,"Lysimachia terrestris",NA,"""(L.) Britton",FALSE
"GIME03",224,291,-1,2024-08-12,2024,"VS",1,"Rosa nitida","shining rose",0,1,1,1,0,0,NA,24834,"Rosales","Rosaceae","Rosa",FALSE,FALSE,"RONI",7,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,24834,"Rosa nitida",NA,"Willd.",FALSE
