"Code","Location_ID","Visit_ID","Panel","Date","Year","Visit_Type","limited_RAM","Strata","Strata_ID","Latin_Name","Common","Percent_Cover","TSN","Order","Family","Genus","Exotic","Invasive","PLANTS_Code","CoC_ME_ACAD","ACAD_ED","Aquatic","Fern_Ally","Graminoid","Herbaceous","Moss_Lichen","Shrub","Tree","Vine","Canopy_Exclusion","TSN_Accepted","Accepted_Latin_Name","Synonym","Author","Protected_species"
"GRME01",218,NA,NA,"2015-07-16",2015,"VS",1,"Tall Emergent Plants/Forbs/Graminoids (≥0.5m)",4,"Carex stricta","upright sedge",50,39435,"Poales","Cyperaceae","Carex",FALSE,FALSE,"CAST8",4,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,39435,"Carex stricta",NA,"Lam.",FALSE
"GRME01",218,NA,NA,"2015-07-16",2015,"VS",1,"Tall Emergent Plants/Forbs/Graminoids (≥0.5m)",4,"Calamagrostis canadensis","bluejoint",30,40544,"Poales","Poaceae","Calamagrostis",FALSE,FALSE,"CACA4",3,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,40544,"Calamagrostis canadensis",NA,"(Michx.) P. Beauv.",FALSE
"GRME01",218,NA,NA,"2015-07-16",2015,"VS",1,"Short Woody Plants (shrubs and trees <5m)",5,"Myrica gale","sweetgale",49,19265,"Fagales","Myricaceae","Myrica",FALSE,FALSE,"MYGA",5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,19265,"Myrica gale",NA,"L.",FALSE
"GRME01",218,NA,NA,"2020-08-14",2020,"VS",1,"Tall Emergent Plants/Forbs/Graminoids (≥0.5m)",4,"Carex stricta","upright sedge",19,39435,"Poales","Cyperaceae","Carex",FALSE,FALSE,"CAST8",4,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,39435,"Carex stricta",NA,"Lam.",FALSE
"GRME01",218,NA,NA,"2020-08-14",2020,"VS",1,"Tall Emergent Plants/Forbs/Graminoids (≥0.5m)",4,"Calamagrostis canadensis","bluejoint",27,40544,"Poales","Poaceae","Calamagrostis",FALSE,FALSE,"CACA4",3,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,40544,"Calamagrostis canadensis",NA,"(Michx.) P. Beauv.",FALSE
"GRME01",218,NA,NA,"2020-08-14",2020,"VS",1,"Short Woody Plants (shrubs and trees <5m)",5,"Myrica gale","sweetgale",12,19265,"Fagales","Myricaceae","Myrica",FALSE,FALSE,"MYGA",5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,19265,"Myrica gale",NA,"L.",FALSE
"GRME01",218,NA,NA,"2020-08-14",2020,"VS",1,"Tall Woody Plants (shrubs and trees ≥5.0m)",6,"Betula populifolia","gray birch",10,19497,"Fagales","Betulaceae","Betula",FALSE,FALSE,"BEPO",2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,19497,"Betula populifolia",NA,"Marshall",FALSE
"GRME02",223,NA,NA,"2015-07-23",2015,"VS",1,"Tall Emergent Plants/Forbs/Graminoids (≥0.5m)",4,"Typha latifolia","broadleaf cattail",19,42326,"Poales","Typhaceae","Typha",FALSE,FALSE,"TYLA",2,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,42326,"Typha latifolia",NA,"L.",FALSE
"GRME02",223,NA,NA,"2015-07-23",2015,"VS",1,"Tall Emergent Plants/Forbs/Graminoids (≥0.5m)",4,"Calamagrostis canadensis","bluejoint",43,40544,"Poales","Poaceae","Calamagrostis",FALSE,FALSE,"CACA4",3,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,40544,"Calamagrostis canadensis",NA,"(Michx.) P. Beauv.",FALSE
"GRME02",223,NA,NA,"2015-07-23",2015,"VS",1,"Tall Emergent Plants/Forbs/Graminoids (≥0.5m)",4,"Carex lacustris","hairy sedge",24,39409,"Poales","Cyperaceae","Carex",FALSE,FALSE,"CALA16",4,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,39409,"Carex lacustris",NA,"Willd.",FALSE
"GRME02",223,NA,NA,"2015-07-23",2015,"VS",1,"Short Woody Plants (shrubs and trees <5m)",5,"Myrica gale","sweetgale",29,19265,"Fagales","Myricaceae","Myrica",FALSE,FALSE,"MYGA",5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,19265,"Myrica gale",NA,"L.",FALSE
"GRME02",223,NA,NA,"2015-07-23",2015,"VS",1,"Short Woody Plants (shrubs and trees <5m)",5,"Alnus incana ssp. Rugosa","speckled alder",17,181888,"Fagales","Betulaceae","Alnus",FALSE,FALSE,"ALINR",3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,181888,"Alnus rugosa",NA,"(Du Roi) R.T. Clausen",FALSE
"GRME02",223,NA,NA,"2020-08-12",2020,"VS",1,"Tall Emergent Plants/Forbs/Graminoids (≥0.5m)",4,"Typha latifolia","broadleaf cattail",50,42326,"Poales","Typhaceae","Typha",FALSE,FALSE,"TYLA",2,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,42326,"Typha latifolia",NA,"L.",FALSE
"GRME02",223,NA,NA,"2020-08-12",2020,"VS",1,"Tall Emergent Plants/Forbs/Graminoids (≥0.5m)",4,"Calamagrostis canadensis","bluejoint",25,40544,"Poales","Poaceae","Calamagrostis",FALSE,FALSE,"CACA4",3,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,40544,"Calamagrostis canadensis",NA,"(Michx.) P. Beauv.",FALSE
"GRME02",223,NA,NA,"2020-08-12",2020,"VS",1,"Tall Emergent Plants/Forbs/Graminoids (≥0.5m)",4,"Carex lacustris","hairy sedge",35,39409,"Poales","Cyperaceae","Carex",FALSE,FALSE,"CALA16",4,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,39409,"Carex lacustris",NA,"Willd.",FALSE
"GRME02",223,NA,NA,"2020-08-12",2020,"VS",1,"Short Woody Plants (shrubs and trees <5m)",5,"Myrica gale","sweetgale",35,19265,"Fagales","Myricaceae","Myrica",FALSE,FALSE,"MYGA",5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,19265,"Myrica gale",NA,"L.",FALSE
"GRME02",223,NA,NA,"2020-08-12",2020,"VS",1,"Short Woody Plants (shrubs and trees <5m)",5,"Alnus incana ssp. Rugosa","speckled alder",14,181888,"Fagales","Betulaceae","Alnus",FALSE,FALSE,"ALINR",3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,181888,"Alnus rugosa",NA,"(Du Roi) R.T. Clausen",FALSE
"GRME02",223,NA,NA,"2020-08-12",2020,"VS",1,"Short Woody Plants (shrubs and trees <5m)",5,"Rhamnus frangula","glossy buckthorn",6,28579,"Rosales","Rhamnaceae","Rhamnus",TRUE,TRUE,"RHFR",0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,28579,"Rhamnus frangula","Frangula alnus","L.",FALSE
"GRME03",215,NA,NA,"2015-07-28",2015,"VS",1,"Tall Emergent Plants/Forbs/Graminoids (≥0.5m)",4,"Carex stricta","upright sedge",17,39435,"Poales","Cyperaceae","Carex",FALSE,FALSE,"CAST8",4,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,39435,"Carex stricta",NA,"Lam.",FALSE
"GRME03",215,NA,NA,"2015-07-28",2015,"VS",1,"Tall Emergent Plants/Forbs/Graminoids (≥0.5m)",4,"Osmundastrum cinnamomea","cinnamon fern",11,897944,"Osmundales","Osmundacea","Osmundastrum",FALSE,FALSE,"OSCI2",4,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,897944,"Osmundastrum cinnamomea","Osmunda cinnamomea","(L.) C. Presl",FALSE
"GRME03",215,NA,NA,"2015-07-28",2015,"VS",1,"",6,"Acer rubrum","red maple",61,28728,"Sapindales","Sapindaceae","Acer",FALSE,FALSE,"ACRU",3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,28728,"Acer rubrum",NA,"L.",FALSE
"GRME03",215,NA,NA,"2020-08-14",2020,"VS",1,"Tall Emergent Plants/Forbs/Graminoids (≥0.5m)",4,"Carex stricta","upright sedge",27,39435,"Poales","Cyperaceae","Carex",FALSE,FALSE,"CAST8",4,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,39435,"Carex stricta",NA,"Lam.",FALSE
"GRME03",215,NA,NA,"2020-08-14",2020,"VS",1,"Tall Emergent Plants/Forbs/Graminoids (≥0.5m)",4,"Osmundastrum cinnamomea","cinnamon fern",21,897944,"Osmundales","Osmundacea","Osmundastrum",FALSE,FALSE,"OSCI2",4,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,897944,"Osmundastrum cinnamomea","Osmunda cinnamomea","(L.) C. Presl",FALSE
"GRME03",215,NA,NA,"2020-08-14",2020,"VS",1,"Tall Woody Plants (shrubs and trees ≥5.0m)",6,"Acer rubrum","red maple",57,28728,"Sapindales","Sapindaceae","Acer",FALSE,FALSE,"ACRU",3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,28728,"Acer rubrum",NA,"L.",FALSE
"GRME03",215,NA,NA,"2020-08-14",2020,"VS",1,"Tall Woody Plants (shrubs and trees ≥5.0m)",6,"Betula papyrifera","paper birch",17,19489,"Fagales","Betulaceae","Betula",FALSE,FALSE,"BEPA",3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,19489,"Betula papyrifera","Betula papyrifera var. papyrifera","Marshall",FALSE
"GRME04",222,NA,NA,"2015-07-30",2015,"VS",1,"Tall Emergent Plants/Forbs/Graminoids (≥0.5m)",4,"Carex stricta","upright sedge",29,39435,"Poales","Cyperaceae","Carex",FALSE,FALSE,"CAST8",4,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,39435,"Carex stricta",NA,"Lam.",FALSE
"GRME04",222,NA,NA,"2015-07-30",2015,"VS",1,"Short Woody Plants (shrubs and trees <5m)",5,"Rhamnus frangula","glossy buckthorn",7,28579,"Rosales","Rhamnaceae","Rhamnus",TRUE,TRUE,"RHFR",0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,28579,"Rhamnus frangula","Frangula alnus","L.",FALSE
"GRME04",222,NA,NA,"2015-07-30",2015,"VS",1,"Tall Woody Plants (shrubs and trees ≥5.0m)",6,"Acer rubrum","red maple",83,28728,"Sapindales","Sapindaceae","Acer",FALSE,FALSE,"ACRU",3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,28728,"Acer rubrum",NA,"L.",FALSE
"GRME04",222,NA,NA,"2015-07-30",2015,"VS",1,"Tall Woody Plants (shrubs and trees ≥5.0m)",6,"Betula papyrifera","paper birch",13,19489,"Fagales","Betulaceae","Betula",FALSE,FALSE,"BEPA",3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,19489,"Betula papyrifera","Betula papyrifera var. papyrifera","Marshall",FALSE
"GRME04",222,NA,NA,"2020-08-14",2020,"VS",1,"Tall Emergent Plants/Forbs/Graminoids (≥0.5m)",4,"Carex stricta","upright sedge",50,39435,"Poales","Cyperaceae","Carex",FALSE,FALSE,"CAST8",4,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,39435,"Carex stricta",NA,"Lam.",FALSE
"GRME04",222,NA,NA,"2020-08-14",2020,"VS",1,"Short Woody Plants (shrubs and trees <5m)",5,"Rhamnus frangula","glossy buckthorn",1,28579,"Rosales","Rhamnaceae","Rhamnus",TRUE,TRUE,"RHFR",0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,28579,"Rhamnus frangula","Frangula alnus","L.",FALSE
"GRME04",222,NA,NA,"2020-08-14",2020,"VS",1,"Tall Woody Plants (shrubs and trees ≥5.0m)",6,"Acer rubrum","red maple",33,28728,"Sapindales","Sapindaceae","Acer",FALSE,FALSE,"ACRU",3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,28728,"Acer rubrum",NA,"L.",FALSE
"GRME04",222,NA,NA,"2020-08-14",2020,"VS",1,"Tall Woody Plants (shrubs and trees ≥5.0m)",6,"Betula papyrifera","paper birch",19,19489,"Fagales","Betulaceae","Betula",FALSE,FALSE,"BEPA",3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,19489,"Betula papyrifera","Betula papyrifera var. papyrifera","Marshall",FALSE
"GRME05",219,NA,NA,"2015-08-12",2015,"VS",1,"Tall Emergent Plants/Forbs/Graminoids (≥0.5m)",4,"Carex stricta","upright sedge",25,39435,"Poales","Cyperaceae","Carex",FALSE,FALSE,"CAST8",4,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,39435,"Carex stricta",NA,"Lam.",FALSE
"GRME05",219,NA,NA,"2015-08-12",2015,"VS",1,"Tall Emergent Plants/Forbs/Graminoids (≥0.5m)",4,"Carex lacustris","hairy sedge",38,39409,"Poales","Cyperaceae","Carex",FALSE,FALSE,"CALA16",4,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,39409,"Carex lacustris",NA,"Willd.",FALSE
"GRME05",219,NA,NA,"2015-08-12",2015,"VS",1,"Tall Emergent Plants/Forbs/Graminoids (≥0.5m)",4,"Carex lenticularis",NA,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GRME05",219,NA,NA,"2015-08-12",2015,"VS",1,"Tall Emergent Plants/Forbs/Graminoids (≥0.5m)",4,"Calamagrostis canadensis","bluejoint",56,40544,"Poales","Poaceae","Calamagrostis",FALSE,FALSE,"CACA4",3,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,40544,"Calamagrostis canadensis",NA,"(Michx.) P. Beauv.",FALSE
"GRME05",219,NA,NA,"2015-08-12",2015,"VS",1,"Tall Emergent Plants/Forbs/Graminoids (≥0.5m)",4,"Carex lasiocarpa","woolly-fruit sedge",21,39459,"Poales","Cyperaceae","Carex",FALSE,FALSE,"CALA11",6,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,39459,"Carex lasiocarpa",NA,"Ehrh.",FALSE
"GRME05",219,NA,NA,"2020-08-12",2020,"VS",1,"Tall Emergent Plants/Forbs/Graminoids (≥0.5m)",4,"Carex stricta","upright sedge",0,39435,"Poales","Cyperaceae","Carex",FALSE,FALSE,"CAST8",4,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,39435,"Carex stricta",NA,"Lam.",FALSE
"GRME05",219,NA,NA,"2020-08-12",2020,"VS",1,"Tall Emergent Plants/Forbs/Graminoids (≥0.5m)",4,"Carex lacustris","hairy sedge",4,39409,"Poales","Cyperaceae","Carex",FALSE,FALSE,"CALA16",4,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,39409,"Carex lacustris",NA,"Willd.",FALSE
"GRME05",219,NA,NA,"2020-08-12",2020,"VS",1,"Tall Emergent Plants/Forbs/Graminoids (≥0.5m)",4,"Carex lenticularis",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GRME05",219,NA,NA,"2020-08-12",2020,"VS",1,"Tall Emergent Plants/Forbs/Graminoids (≥0.5m)",4,"Calamagrostis canadensis","bluejoint",55,40544,"Poales","Poaceae","Calamagrostis",FALSE,FALSE,"CACA4",3,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,40544,"Calamagrostis canadensis",NA,"(Michx.) P. Beauv.",FALSE
"GRME05",219,NA,NA,"2020-08-12",2020,"VS",1,"Tall Emergent Plants/Forbs/Graminoids (≥0.5m)",4,"Carex lasiocarpa","woolly-fruit sedge",35,39459,"Poales","Cyperaceae","Carex",FALSE,FALSE,"CALA11",6,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,39459,"Carex lasiocarpa",NA,"Ehrh.",FALSE
"GRME05",219,NA,NA,"2020-08-12",2020,"VS",1,"Tall Emergent Plants/Forbs/Graminoids (≥0.5m)",4,"Carex utriculata","Northwest Territory sedge",30,501288,"Poales","Cyperales","Carex",FALSE,FALSE,"CAUT",5,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,501288,"Carex utriculata",NA,"Boott",FALSE
"GRME06",221,NA,NA,"2015-08-10",2015,"VS",1,"Tall Emergent Plants/Forbs/Graminoids (≥0.5m)",4,"Carex stricta","upright sedge",59,39435,"Poales","Cyperaceae","Carex",FALSE,FALSE,"CAST8",4,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,39435,"Carex stricta",NA,"Lam.",FALSE
"GRME06",221,NA,NA,"2015-08-10",2015,"VS",1,"Short Woody Plants (shrubs and trees <5m)",5,"Rhamnus frangula","glossy buckthorn",42,28579,"Rosales","Rhamnaceae","Rhamnus",TRUE,TRUE,"RHFR",0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,28579,"Rhamnus frangula","Frangula alnus","L.",FALSE
