Accepted_Latin_Name,Common,Created_By,Family,Genus,Latin_Name,Order,PLANTS_Code,Rank_Name,Species,Subspecies,Synonym,Updated_By,ACAD_ED,Accepted_Found,Aquatic,Exotic,Fern_Ally,Graminoid,Herbaceous,Moss_Lichen,Shrub,Tree,TSN,TSN_Accepted,Vine,CoC_ME_ACAD,Created_Date,Updated_Date,Invasive,Author,Canopy_Exclusion,Favorites,Protected_species,Coef_wetness
Muhlenbergia glomerata,marsh muhly,NA,Poaceae,Muhlenbergia,Muhlenbergia glomerata,Poales,MUGL3,Species,glomerata,NA,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,41918,41918,FALSE,7,12/4/2024 8:27,12/4/2024 8:27,FALSE,(Willd.) Trin.,FALSE,FALSE,FALSE,-5
Agrimonia,agrimony,NA,Rosaceae,Agrimonia,Agrimonia,Rosales,AGRIM,Genus,NA,NA,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,25092,25092,FALSE,4,12/4/2024 8:27,12/4/2024 8:27,FALSE,L.,FALSE,FALSE,FALSE,3
Agrostis stolonifera,creeping bentgrass,NA,Poaceae,Agrostis,Agrostis stolonifera,Poales,AGST2,Species,stolonifera,NA,NA,NA,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,40400,40400,FALSE,0,12/4/2024 8:27,12/4/2024 8:27,FALSE,L.,FALSE,FALSE,FALSE,-3
Salix bebbiana,Bebb's willow,NA,Salicaceae,Salix,Salix bebbiana,Malpighiales,SABE2,Species,bebbiana,NA,NA,NA,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,22507,22507,FALSE,3,12/4/2024 8:27,12/4/2024 8:27,FALSE,Sarg.,FALSE,FALSE,FALSE,-3
Malus toringo,Japanese cfrabapple,NA,Rosaceae,Malus,Malus toringo,Rosales,MATO6,Species,toringo,NA,Malus sieboldii,NA,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,837290,837290,FALSE,0,12/4/2024 8:27,12/4/2024 8:27,FALSE,(Siebold) Siebold ex de Vriese,FALSE,FALSE,FALSE,0
Callitriche terrestris,terrestrial starwort,NA,Plantaginaceae,Callitriche,Callitriche terrestris,Lamiales,CATE19,Species,terrestris,NA,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,501142,501142,FALSE,4,12/4/2024 8:27,12/4/2024 8:27,FALSE,Raf.,FALSE,FALSE,FALSE,-3
Abies balsamea,balsam fir,NA,Pinaceae,Abies,Abies balsamea,Pinales,ABBA,Species,balsamea,NA,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,18032,18032,FALSE,3,6/14/2012,6/14/2012,FALSE,(L.) Mill.,FALSE,FALSE,FALSE,0
Acer,maple,NA,Sapindaceae,Acer,Acer,Sapindales,ACER,Genus,NA,NA,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,28727,28727,FALSE,5,6/14/2012,6/14/2012,FALSE,L.,FALSE,TRUE,FALSE,NA
Acer pensylvanicum,striped maple,NA,Sapindaceae,Acer,Acer pensylvanicum,Sapindales,ACPE,Species,pensylvanicum,NA,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,28754,28754,FALSE,5,6/14/2012,6/14/2012,FALSE,L.,TRUE,FALSE,FALSE,3
Acer rubrum,red maple,NA,Sapindaceae,Acer,Acer rubrum,Sapindales,ACRU,Species,rubrum,NA,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,28728,28728,FALSE,3,6/14/2012,6/14/2012,FALSE,L.,FALSE,TRUE,FALSE,0
