"Code","Location_ID","Panel","Date_Established","Contact_ID","xCoordinate","yCoordinate","Latitude","Longitude","UTM_Zone","Description","FWS_Class_Code","HGM_Class","HGM_Sub_Class","AA_Layout","AA_Area","Directions","Location_Comments","Access_Comments","Notes_AA2","Access_Difficulty","Access_Requirement","Saturated_Soils","Standing_Water","Shallow_Roots","Water_Marks","Water_Carried_Debris","Bare_Areas","Floating_Mat","Buttressed_Trunks","Water_Stained_Leaves","Oxidized_Rhizospheres","Other","Wetland_Hydro_Comments"
"GIME03",224,-1,2024-08-12,9,558085,4912280,44.3614687783234,-68.2710747204677,"19N","Palustrine Emergent","PEM","Depression","OPEN","STANDARD_CIRCULAR",0.5,"NA","NA","NA","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GIME07",225,-1,2024-08-12,9,558056,4912311,44.3617501685242,-68.2714351618667,"19N","Palustrine Scrub/Shrub","PSS","Depression","OPEN","STANDARD_CIRCULAR",0.5,"NA","GPS Coords correct, Site ID should be GIME07","NA","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GRME01",218,-1,2024-07-22,9,563119,4912595,44.363883845008,-68.2078691636101,"19N","Palustrine Emergent","PEM","Depression","OPEN","STANDARD_CIRCULAR",0.5,"Park at Sieur de Mont","NA","Bring chest or hip waders (in drier years) to cross the stream channel","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GRME02",223,-1,2024-07-30,9,563119,4912595,44.363883845008,-68.2078691636101,"19N","Palustrine Emergent","PEM","Depression","OPEN","STANDARD_CIRCULAR",0.5,"Park at end of Great Meadow Drive, access from upland N of site","NA","NA","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GRME03",215,-1,2024-07-16,9,562824,4912845,44.3661599775609,-68.211540817212,"19N","Palustrine Forested","PFO","Depression","OPEN","STANDARD_CIRCULAR",0.5,"Park at Sieur de Mont, access from boardwalk or hemlock trail","NA","NA","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GRME04",222,-1,2024-07-24,9,562910,4912898,44.3666296324395,-68.2104551852359,"19N","Palustrine Forested","PFO","Depression","OPEN","STANDARD_CIRCULAR",0.5,"Just off boardwalk","NA","NA","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GRME05",219,-1,2024-07-23,9,563200,4912819,44.3658932545905,-68.2068255161496,"19N","Palustrine Emergent","PEM","Depression","OPEN","STANDARD_CIRCULAR",0.5,"NA","NA","NA","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GRME06",221,-1,2024-07-24,9,563011,4912923,44.3668459157113,-68.2091846880126,"19N","Palustrine Forested","PFO","Depression","OPEN","STANDARD_CIRCULAR",0.5,"Up boardwalk until plot is due east, bushwhack from there ","white-faced hornet nest ~3m N/NE of well cap","NA","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GRME07",217,-1,2024-07-22,9,563061,4912558,44.3635558135196,-68.2086014674007,"19N","Palustrine Scrub/Shrub","PSS","Depression","OPEN","STANDARD_CIRCULAR",0.5,"Park at Sieur de Mont, go up trail until stream channel is crossed, then enter wetland. Orange fiberglass marker pole missing. Used GPS & aerial maps of the sample sites to find plot center.","NA","NA","Subclass = 10 (would not respond to selection)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GRME08",214,-1,2024-07-15,9,563371,4912896,44.3665714914146,-68.2046702526296,"19N","Palustrine Scrub/Shrub","PSS","Depression","Open Beaver Impounded","STANDARD_CIRCULAR",0.5,"Park on Park Loop Road","NA","NA","Mix of PSS and PEM and PFO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GRME09",216,-1,2024-07-16,9,562963,4912763,44.3654097530641,-68.2098064161728,"19N","Palustrine Forested","PFO","Depression","OPEN","STANDARD_CIRCULAR",0.5,"NA","NA","NA","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GRME10",220,-1,2024-07-23,9,563256,4912949,44.3670586406657,-68.2061069633001,"19N","Palustrine Emergent","PEM","Depression","OPEN","STANDARD_CIRCULAR",0.5,"NA","NA","NA","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
