"Code","Location_ID","Visit_ID","Panel","Date","Year","Visit_Type","limited_RAM","Weather","Prior_Weather","Ditch_Present","Depth_1","Depth_2","Depth_3","Flag_Water_Source","Water_Source_1","Water_Source_2","Water_Source_3","Mosaic_Complexity","SphagnumMoss","Bryophyte_Cover","Invasive_Cover_Class","Invasive_Cover","Buffer_Width_N","Buffer_Width_NE","Buffer_Width_E","Buffer_Width_SE","Buffer_Width_S","Buffer_Width_SW","Buffer_Width_W","Buffer_Width_NW","Buffer_Width_Avg","Buffer_Perim_Percent","AlgalMatOrCrust","AquaticInvertebrate","BioticCrust","DrainagePatterns","DriftDeposits","Flag_Inundation","IronDeposits","MarlDeposits","MossTrimLines","SaltCrust","SedimentDeposits","SparselyVegetatedConcaveSurfaces","SurfaceSoilCracks","WaterMarks","WaterStainedLeaves","TrueAquaticPlants","CrayfishBurrows","DrySeasonWaterTable","FiddlerCrabBurrows","Flag_Saturation","HydrogenSulfideOdor","SaltDeposits","SurficialThinMuck","OxidizedRhizospheres","Flag_Surface","GeomorphicPosition","HighWaterTable","MicrotopographicRelief","ShallowAquitard","SoilSaturation","StuntedOrStressedPlants","SurfaceWater","Notes_AA_Point","Notes_RAM01","Notes_RAM02","Notes_Topographic_Complexity","Notes_Mosaic_Complexity","Notes_RAM05","Notes_RAM06","Notes_RAM07","Notes_RAM08","Notes_RAM09","Notes_RAM10","Notes_RAM11","Notes_Species","Notes_H1","Protocol_Version","Checked","Data_Verified_By","Certification_Level"
"GIME03",224,291,-1,2024-08-12,2024,"VS",1,"Sunny, 73.","Rain Friday into Saturday morning. ","No",NA,NA,NA,"","Stream Inflow (creeks, rivers)","Groundwater","Precipitation (rain, snow)","4",-1,60,"Absent (none)",0,100,100,100,100,100,100,100,100,100,">75%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,-1,0,0,0,NA,-1,-1,-1,0,-1,0,-1,"assistant = FSO","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",NA,"2021/2276","Y",9,"R"
"GIME07",225,292,-1,2024-08-12,2024,"VS",1,"Sunny, 73.","Rain Friday into Saturday morning","No",NA,NA,NA,"","Stream Inflow (creeks, rivers)","Groundwater","Precipitation (rain, snow)","4",-1,40,"Absent (none)",0,100,100,100,100,100,100,100,100,100,">75%",0,0,0,0,-1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,-1,0,0,0,NA,-1,-1,-1,0,-1,-1,-1,"Assistant = FSO","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","NA","2021/2276","Y",9,"R"
"GRME01",218,284,-1,2024-07-22,2024,"VS",1,"Sunny 72","Started sunny and dry over weekend, overcast and foggy with scattered showers. 0.3 in precipitation.","No",NA,NA,NA,"","Stream Inflow (creeks, rivers)","Groundwater","Precipitation (rain, snow)","4",-1,30,"Absent (none)",0,100,100,100,60,75,100,100,100,91.875,">75%",0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,-1,0,0,0,NA,-1,0,0,0,NA,-1,-1,-1,0,-1,-1,-1,"Assistant = FSO","N/A","N/A","N/A","N/A","N/A","Lonicera villosa was one stem","N/A","N/A","N/A","N/A","N/A","N/A",NA,"2021/2276","Y",9,"R"
"GRME02",223,289,-1,2024-07-30,2024,"VS",1,"Overcast in the morning, sunny and windy during sampling (pm). 75, 95% humidity.","less than an inch of rain, largely sunny.","No",NA,NA,NA,"","Groundwater","Precipitation (rain, snow)","Stream Inflow (creeks, rivers)","3",0,0,"Trace (nearly absent): <5% cover",1,100,100,100,100,100,100,100,100,100,">75%",0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,-1,0,0,0,NA,-1,0,0,0,NA,-1,-1,-1,0,-1,-1,-1,"Assistant = FSO","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",NA,"2021/2276","Y",9,"R"
"GRME03",215,281,-1,2024-07-19,2024,"VS",1,"Warm, partly cloudy, light breeze. 74 degrees","hot and dry, some rainfall yesterday morning ","No",NA,NA,NA,"","Groundwater","Precipitation (rain, snow)",NA,"2",-1,15,"Trace (nearly absent): <5% cover",0.05,100,100,100,100,100,100,100,100,100,">75%",0,0,0,-1,0,NA,0,0,0,0,0,-1,0,0,-1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,-1,-1,0,-1,-1,-1,"assistant = FSO",NA,"N/A","N/A","N/A","N/A","N/A","N/A","numerous red oak seedlings ","N/A","N/A","N/A","N/A","NA","2021/2276","Y",9,"R"
"GRME04",222,288,-1,2024-07-24,2024,"VS",1,"Overcast, light breeze, 65",".3 inches rainfall day prior, otherwise hot and dry","No",NA,NA,NA,"","Groundwater","Precipitation (rain, snow)",NA,"1",-1,35,"Trace (nearly absent): <5% cover",0.05,100,100,100,100,100,100,100,100,100,">75%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,-1,-1,0,-1,0,0,"assistant = FSO","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",NA,"2021/2276","Y",9,"R"
"GRME05",219,293,-1,2024-08-20,2024,"VS",1,"Overcast, misty. Scattered showers. 66 degrees","Sunny, warm, dry.","No",NA,NA,NA,"","Groundwater","Stream Inflow (creeks, rivers)","Precipitation (rain, snow)","4",0,0,"Absent (none)",0,100,100,100,100,100,100,100,100,100,">75%",0,0,0,0,-1,NA,0,0,0,0,-1,-1,0,0,0,-1,0,0,0,NA,-1,0,0,0,NA,-1,-1,-1,0,-1,-1,-1,"Assistant = FSO","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Grazing may have been a non-ungulate—field signs indicated incisors on both palates.","N/A","N/A","N/A","NA","2021/2276","Y",9,"R"
"GRME06",221,287,-1,2024-07-24,2024,"VS",1,"Overcast, light breeze, 65 degrees",".3 inches of rain day prior, otherwise dry and sunny","No",NA,NA,NA,"","Groundwater","Precipitation (rain, snow)",NA,"1",-1,55,"5-25%",5,100,100,100,100,100,100,100,100,100,">75%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,-1,-1,0,-1,0,-1,"Assistant = FSO","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",NA,"2021/2276","Y",9,"R"
"GRME07",217,283,-1,2024-07-22,2024,"VS",1,"Sunny, fair. Breezy, 71","Hot, sunny. Minimal precipitation.","No",NA,NA,NA,"","Groundwater","Precipitation (rain, snow)",NA,"2",-1,60,"Trace (nearly absent): <5% cover",0.001,100,100,100,80,100,100,100,100,97.5,">75%",0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,-1,0,0,0,NA,-1,0,0,0,NA,-1,-1,-1,0,-1,-1,-1,"Assistant = FSO","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Compacted deer trails and beds - not severe","N/A","N/A","N/A",NA,"2021/2276","Y",9,"R"
"GRME08",214,280,-1,2024-07-15,2024,"VS",1,"Sunny & dry, light breeze, 75 degrees","Dry & warm","Yes",100,150,100,"","Groundwater","Precipitation (rain, snow)",NA,"3",-1,0.1,"Trace (nearly absent): <5% cover",0.1,100,65,50,70,100,100,100,100,85.625,">75%",0,0,0,-1,0,NA,0,0,0,0,-1,-1,0,0,-1,-1,0,-1,0,NA,0,0,0,0,NA,-1,-1,-1,0,-1,-1,-1,"NA","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1 mature stem glossy buckthorn","Large swaths of dead Cx lacustris","N/A","NA","2021/2276","Y",9,"R"
"GRME09",216,282,-1,2024-07-16,2024,"VS",1,"Sunny, humid, 75","Hot, dry.","No",NA,NA,NA,"","Groundwater","Precipitation (rain, snow)",NA,"2",NA,35,"Trace (nearly absent): <5% cover",3,100,100,100,100,100,100,100,100,100,">75%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Botanist assistant = FSO","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",NA,"2021/2276","Y",9,"R"
