site_name,local_id,site_type,wetland,year,xcoord,ycoord,species,PLANTS,avg_cov,coc,nativity,stress_tol,Notes
RAM #04,R-04,RAM,Great Meadow,2012,563269.1663,4913128.616,Alnus incana,ALIN2,1,2.5,native,1,Great Meadow (MDI) #1
RAM #04,R-04,RAM,Great Meadow,2012,563269.1663,4913128.616,Calamagrostis canadensis,CACA4,5,2.33,native,1,Great Meadow (MDI) #1
RAM #04,R-04,RAM,Great Meadow,2012,563269.1663,4913128.616,Carex lacustris,CALA16,40,4,native,1,Great Meadow (MDI) #1
RAM #04,R-04,RAM,Great Meadow,2012,563269.1663,4913128.616,Carex lasiocarpa,CALA11,1,6,native,0,Great Meadow (MDI) #1
RAM #04,R-04,RAM,Great Meadow,2012,563269.1663,4913128.616,Carex stricta,CAST8,10,4.5,native,0,Great Meadow (MDI) #1
RAM #04,R-04,RAM,Great Meadow,2012,563269.1663,4913128.616,Chamaedaphne calyculata,CHCA2,1,5.5,native,0,Great Meadow (MDI) #1
RAM #04,R-04,RAM,Great Meadow,2012,563269.1663,4913128.616,Juncus canadensis,JUCA3,0.1,3.5,native,1,Great Meadow (MDI) #1
RAM #04,R-04,RAM,Great Meadow,2012,563269.1663,4913128.616,Myrica gale,MYGA,10,5,native,0,Great Meadow (MDI) #1
RAM #04,R-04,RAM,Great Meadow,2012,563269.1663,4913128.616,Rhamnus frangula,RHFR,1,0,non-native,0,Great Meadow (MDI) #1
RAM #04,R-04,RAM,Great Meadow,2012,563269.1663,4913128.616,Salix,SALIX,20,3.13,native,1,Great Meadow (MDI) #1
RAM #04,R-04,RAM,Great Meadow,2012,563269.1663,4913128.616,Scirpus cyperinus,SCCY,0.1,3,native,1,Great Meadow (MDI) #1
RAM #04,R-04,RAM,Great Meadow,2012,563269.1663,4913128.616,Spiraea alba,SPAL2,15,2,native,1,Great Meadow (MDI) #1
RAM #04,R-04,RAM,Great Meadow,2017,563269.1663,4913128.616,Alnus incana ssp. Rugosa,ALINR,7,2.5,native,1,Great Meadow (MDI) #1
RAM #04,R-04,RAM,Great Meadow,2017,563269.1663,4913128.616,Betula populifolia,BEPO,7,2,native,1,Great Meadow (MDI) #1
RAM #04,R-04,RAM,Great Meadow,2017,563269.1663,4913128.616,Calamagrostis canadensis,CACA4,10,2.33,native,1,Great Meadow (MDI) #1
RAM #04,R-04,RAM,Great Meadow,2017,563269.1663,4913128.616,Carex lacustris,CALA16,50,4,native,1,Great Meadow (MDI) #1
RAM #04,R-04,RAM,Great Meadow,2017,563269.1663,4913128.616,Carex lasiocarpa,CALA11,4,6,native,0,Great Meadow (MDI) #1
