Code,Location_ID,Panel,Date_Established,Contact_ID,xCoordinate,yCoordinate,Latitude,Longitude,UTM_Zone,Description,FWS_Class_Code,HGM_Class,HGM_Sub_Class,AA_Layout,AA_Area,Directions,Location_Comments,Access_Comments,Notes_AA2,Access_Difficulty,Access_Requirement,Saturated_Soils,Standing_Water,Shallow_Roots,Water_Marks,Water_Carried_Debris,Bare_Areas,Floating_Mat,Buttressed_Trunks,Water_Stained_Leaves,Oxidized_Rhizospheres,Other,Wetland_Hydro_Comments
GRME01,218,NA,7/16/2015,NA,563119,4912595,NA,NA,19N,Palustrine Scrub/Shrub,PSS,Depression,OPEN,STANDARD_CIRCULAR,0.5,Park at Sieur de Mont Spring parking area. Walk to point from here. Walk out on Jesup Path. Once the boardwalk starts - turn right and into Meadow. No stream crossing by going this way.,NA,Deep stream crossing unless you head down Jesup Path first. Permits required by NPS.,NA,Deep Water,Special Permits,YES,YES,NA,YES,NA,NA,NA,NA,NA,NA,NA,NA
GRME02,223,NA,7/22/2015,NA,563071,4913162,NA,NA,19N,Palustrine Scrub/Shrub,PSS,Depression,OPEN,STANDARD_CIRCULAR,0.5,Park at intersection of Loop Road and Ledgelawn. Hike on Road to NW across culvert and then bushwack in woods as long as possible heading towards plot location.,NA,Need permit from ANP,NA,Dense vegetation,Special Permits,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GRME03,215,NA,7/28/2015,NA,562824,4912845,NA,NA,19N,Palustrine Forested,PFO,Depression,OPEN,STANDARD_CIRCULAR,0.5,Park at Wild Gardens parking area. Head down Jessup Path & head off boardwalk when closest to point.,NA,Easy open site; Park permits required,NA,NA,Special Permits,NA,NA,NA,NA,NA,NA,NA,YES,YES,NA,NA,NA
GRME04,222,NA,7/30/2015,NA,562910,4912898,NA,NA,19N,Palustrine Forested,PFO,Depression,OPEN,STANDARD_CIRCULAR,0.5,Take Kebo Path out to Point. Point is just to East of boardwalk.,Mored point to area more screened from trail,Visible from Kebo path; Need permit from ANP,NA,Other,Special Permits,NA,NA,NA,NA,NA,YES,NA,NA,YES,NA,NA,NA
GRME05,219,NA,8/10/2015,NA,563200,4912819,NA,NA,19N,Palustrine Emergent,PEM,Depression,OPEN,STANDARD_CIRCULAR,0.5,"Park in gravel pull off area approximately 563436, 4912909. First goal is to get to the very large willow approximately 563318, 4912806. Once under the large willow tree on edge of wetland, generally follow a straight line to plot 5, although you may need to job slightly north once or twice to skirt a deeper pool'",NA,Deep water in August,NA,Dense vegetation,Special Permits,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GRME06,221,NA,8/10/2015,NA,563011,4912923,NA,NA,19N,Palustrine Forested,PFO,Depression,OPEN,STANDARD_CIRCULAR,0.5,Park at Wild Gardens parking area. Hike down Jesup path & head off of boardwalk when nearest to point 4. Hike past point 4 & head directly to point 6.,NA,Stomp ... for Buckthorn,NA,Other,Special Permits,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GRME07,217,NA,8/14/2015,NA,563061,4912558,NA,NA,19N,Palustrine Forested,PFO,Depression,OPEN,STANDARD_CIRCULAR,0.5,"Park at Wild Gardens. Walk out Jesup path. Once the boardwalk starts, proceed past the first deep channel, and then turn right and into the meadow following the directions most of the way to plot 1. Once you get clode to Plot 1, head straight to the Plot 7 coordinates.",NA,NA,NA,NA,Special Permits,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GRME08,214,NA,8/14/2015,NA,563371,4912986,NA,NA,19N,Palustrine Emergent,PEM,Depression,OPEN,STANDARD_CIRCULAR,0.5,"Park in the gravell pull off area approximately 563436, 4912909. Hike into the woods until the coordinates for plot 8 arc directly west of you, then hike out into the wetland to the plot coordinates.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GRME09,216,NA,8/14/2015,NA,562963,4912763,NA,NA,19N,Palustrine Forested,PFO,Depression,OPEN,STANDARD_CIRCULAR,0.5,Park at Wild Gardens parking area. Hike out the Jesup Path & head off of the boardwalk when nearest to the point,NA,NA,NA,NA,Special Permits,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GRME10,220,NA,8/14/2015,NA,563256,4912949,NA,NA,19N,Palustrine Emergent,PEM,Depression,OPEN,STANDARD_CIRCULAR,0.5,"Follow directions for accessing large willow tree for getting to Plot 5. From that willow tree, head to the eastern side of plot 10, altering course to the center once it is near. Lots of deep channels to avoid.",NA,Stay to south to cross ditch,NA,Deep Water,Special Permits,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GRME01,218,NA,8/14/2020,NA,563119,4912595,NA,NA,19N,Palustrine Scrub/Shrub,PSS,Depression,OPEN,STANDARD_CIRCULAR,0.5,Park at Siur de Monts Springs parking area. Walk to point from here. Once the boardwalk starts - turn right and into meadow. No stream crossings by going this way.,NA,Deep stream crossings unless you head down Jesup path first. Permit required by NPS.,NA,Deep Water,Special Permits,NA,YES,NA,YES,NA,NA,NA,NA,NA,NA,NA,NA
GRME02,223,NA,8/12/2020,NA,563070,4913161,NA,NA,19N,Palustrine Scrub/Shrub,PSS,Depression,OPEN,STANDARD_CIRCULAR,0.5,Park at intersection of Loop Road and Great Meadow. Hike on road to NW across culvert and then bushwack in woods as long as possible heading towards plot location,NA,Need permit from ANP,NA,Dense vegetation,Special Permits,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GRME03,215,NA,8/14/2020,NA,562813,4912849,NA,NA,19N,Palustrine Forested,PFO,Depression,OPEN,STANDARD_CIRCULAR,0.5,Park at Wild Gardens parking area. Head down Jessup Path and head off boardwalk when near point.,NA,"Easy, open site. Permit needed from ANP.",NA,NA,Special Permits,NA,NA,NA,NA,NA,NA,NA,YES,YES,NA,NA,NA
GRME04,222,NA,8/14/2020,NA,562907,4912908,NA,NA,19N,Palustrine Forested,PFO,Depression,OPEN,STANDARD_CIRCULAR,0.5,Park Kebo Path out to point. Point is just to the East of boardwalk,NA,Need permit from ANP,NA,NA,Special Permits,NA,NA,NA,NA,NA,YES,NA,NA,YES,NA,NA,NA
GRME05,219,NA,8/12/2020,NA,563200,4912819,NA,NA,19N,Palustrine Emergent,PEM,Depression,OPEN,STANDARD_CIRCULAR,0.5,"Park in pull off area (563436, 4912909). First go to the very large willow tree at 563318, 4912906, then head in a straight line to plot 5",NA,Ankle deep water,NA,Dense vegetation,Special Permits,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
