Code,Location_ID,Visit_ID,Panel,Date,Year,Visit_Type,limited_RAM,Strata,Strata_ID,Latin_Name,Common,Percent_Cover,TSN,Order,Family,Genus,Exotic,Invasive,PLANTS_Code,CoC_ME_ACAD,ACAD_ED,Aquatic,Fern_Ally,Graminoid,Herbaceous,Moss_Lichen,Shrub,Tree,Vine,Canopy_Exclusion,TSN_Accepted,Accepted_Latin_Name,Synonym,Author,Protected_species
GRME01,218,NA,NA,7/16/2015,2015,VS,1,Tall Emergent Plants/Forbs/Graminoids (≥0.5m),4,Carex stricta,,50,,,,,,,,,,,,,,,,,,,,,,,
GRME01,218,NA,NA,7/16/2015,2015,VS,1,Tall Emergent Plants/Forbs/Graminoids (≥0.5m),4,Calamagrostis canadensis,,30,,,,,,,,,,,,,,,,,,,,,,,
GRME01,218,NA,NA,7/16/2015,2015,VS,1,Short Woody Plants (shrubs and trees <5m),5,Myrica gale,,49,,,,,,,,,,,,,,,,,,,,,,,
GRME01,218,NA,NA,8/14/2020,2020,VS,1,Tall Emergent Plants/Forbs/Graminoids (≥0.5m),4,Carex stricta,,19,,,,,,,,,,,,,,,,,,,,,,,
GRME01,218,NA,NA,8/14/2020,2020,VS,1,Tall Emergent Plants/Forbs/Graminoids (≥0.5m),4,Calamagrostis canadensis,,27,,,,,,,,,,,,,,,,,,,,,,,
GRME01,218,NA,NA,8/14/2020,2020,VS,1,Short Woody Plants (shrubs and trees <5m),5,Myrica gale,,12,,,,,,,,,,,,,,,,,,,,,,,
GRME01,218,NA,NA,8/14/2020,2020,VS,1,Tall Woody Plants (shrubs and trees ≥5.0m),6,Betula populifolia,,10,,,,,,,,,,,,,,,,,,,,,,,
GRME02,223,NA,NA,7/23/2015,2015,VS,1,Tall Emergent Plants/Forbs/Graminoids (≥0.5m),4,Typha latifolia,,19,,,,,,,,,,,,,,,,,,,,,,,
GRME02,223,NA,NA,7/23/2015,2015,VS,1,Tall Emergent Plants/Forbs/Graminoids (≥0.5m),4,Calamagrostis canadensis,,43,,,,,,,,,,,,,,,,,,,,,,,
GRME02,223,NA,NA,7/23/2015,2015,VS,1,Tall Emergent Plants/Forbs/Graminoids (≥0.5m),4,Carex lacustris,,24,,,,,,,,,,,,,,,,,,,,,,,
